#item,x,y,width,height,label
0,675.0,858.0,105.0,65.0,1
1,444.0,776.0,79.0,58.0,1
2,785.0,624.0,78.0,64.0,1
3,0.0,748.0,92.0,74.0,1
4,149.0,530.0,81.0,78.0,1
5,410.0,479.0,98.0,66.0,1
6,631.0,698.0,90.0,72.0,1
7,352.0,888.0,77.0,65.0,1
8,509.0,915.0,82.0,42.0,1
9,470.0,959.0,64.0,65.0,1
10,515.0,591.0,104.0,70.0,1
11,448.0,832.0,72.0,75.0,1
12,712.0,445.0,98.0,88.0,1
13,19.0,0.0,89.0,44.0,1
14,218.0,357.0,90.0,76.0,1
15,727.0,258.0,122.0,82.0,1
16,41.0,978.0,70.0,46.0,1
17,742.0,365.0,99.0,71.0,1
18,70.0,88.0,98.0,127.0,1
19,687.0,134.0,94.0,90.0,1
20,953.0,881.0,71.0,75.0,1
21,531.0,699.0,99.0,64.0,1
22,949.0,336.0,75.0,82.0,1
23,331.0,662.0,71.0,60.0,1
24,707.0,616.0,67.0,56.0,1
25,563.0,884.0,87.0,56.0,1
26,678.0,965.0,108.0,59.0,1
27,851.0,447.0,80.0,77.0,1
28,680.0,505.0,65.0,86.0,1
29,818.0,755.0,87.0,67.0,1
30,733.0,337.0,78.0,70.0,1
31,802.0,804.0,90.0,52.0,1
32,588.0,956.0,78.0,68.0,1
33,123.0,731.0,92.0,72.0,1
34,165.0,885.0,73.0,60.0,1
35,292.0,524.0,108.0,95.0,1
36,53.0,749.0,63.0,45.0,1
37,885.0,224.0,91.0,74.0,1
38,724.0,662.0,57.0,44.0,1
39,295.0,363.0,44.0,66.0,1
40,193.0,960.0,63.0,64.0,1
41,759.0,197.0,73.0,63.0,1
42,307.0,851.0,85.0,71.0,1
43,0.0,120.0,41.0,79.0,1
44,615.0,380.0,99.0,105.0,1
45,602.0,186.0,88.0,65.0,1
46,21.0,662.0,73.0,66.0,1
47,447.0,713.0,69.0,56.0,1
48,912.0,500.0,84.0,91.0,1
