#item,x,y,width,height,label
0,995.0,409.0,29.0,79.0,1
1,977.0,314.0,47.0,52.0,1
2,510.0,139.0,49.0,34.0,1
3,816.0,450.0,138.0,64.0,1
4,793.0,913.0,87.0,87.0,1
5,852.0,384.0,120.0,69.0,1
6,750.0,33.0,94.0,74.0,1
7,786.0,347.0,72.0,75.0,1
8,847.0,235.0,82.0,61.0,1
9,930.0,38.0,93.0,65.0,1
10,867.0,314.0,87.0,85.0,1
11,916.0,235.0,82.0,72.0,1
12,771.0,997.0,70.0,27.0,1
13,636.0,78.0,63.0,30.0,1
14,939.0,0.0,85.0,40.0,1
15,860.0,563.0,69.0,82.0,1
16,762.0,575.0,77.0,110.0,1
17,990.0,267.0,34.0,57.0,1
18,857.0,650.0,77.0,107.0,1
19,814.0,166.0,105.0,84.0,1
