#item,x,y,width,height,label
0,738.0,530.0,78.0,52.0,1
1,405.0,156.0,49.0,46.0,1
2,385.0,966.0,61.0,40.0,1
3,0.0,99.0,64.0,56.0,1
4,144.0,822.0,52.0,59.0,1
5,254.0,4.0,57.0,77.0,1
6,980.0,346.0,43.0,60.0,1
7,1000.0,685.0,24.0,43.0,1
8,610.0,160.0,48.0,66.0,1
9,790.0,730.0,40.0,41.0,1
10,118.0,967.0,83.0,36.0,1
11,719.0,742.0,47.0,47.0,1
12,605.0,863.0,49.0,43.0,1
13,454.0,118.0,51.0,53.0,1
14,745.0,593.0,39.0,40.0,1
15,377.0,26.0,63.0,48.0,1
16,299.0,711.0,68.0,47.0,1
17,916.0,917.0,54.0,42.0,1
18,387.0,377.0,65.0,52.0,1
19,81.0,67.0,78.0,86.0,1
20,261.0,169.0,60.0,62.0,1
21,459.0,754.0,65.0,43.0,1
22,633.0,831.0,77.0,42.0,1
23,249.0,955.0,30.0,37.0,1
24,510.0,147.0,47.0,41.0,1
25,278.0,619.0,85.0,72.0,1
26,691.0,451.0,41.0,26.0,1
27,170.0,337.0,53.0,56.0,1
28,415.0,296.0,51.0,82.0,1
29,119.0,889.0,49.0,66.0,1
30,410.0,883.0,61.0,35.0,1
31,244.0,843.0,116.0,47.0,1
32,943.0,822.0,58.0,42.0,1
33,790.0,832.0,53.0,55.0,1
34,677.0,477.0,71.0,93.0,1
35,166.0,211.0,82.0,88.0,1
36,192.0,1004.0,60.0,18.0,1
37,644.0,618.0,38.0,61.0,1
38,314.0,873.0,64.0,50.0,1
39,593.0,943.0,68.0,37.0,1
40,35.0,17.0,57.0,45.0,1
41,36.0,895.0,54.0,67.0,1
42,742.0,678.0,47.0,49.0,1
43,179.0,704.0,71.0,100.0,1
44,707.0,14.0,46.0,76.0,1
45,289.0,975.0,87.0,46.0,1
46,186.0,29.0,59.0,41.0,1
47,729.0,817.0,49.0,46.0,1
48,0.0,538.0,47.0,46.0,1
49,498.0,860.0,36.0,69.0,1
50,100.0,589.0,68.0,47.0,1
51,830.0,0.0,63.0,43.0,1
52,452.0,0.0,58.0,38.0,1
53,75.0,1.0,53.0,37.0,1
54,512.0,82.0,52.0,51.0,1
55,61.0,467.0,54.0,69.0,1
56,810.0,647.0,45.0,59.0,1
57,313.0,429.0,51.0,52.0,1
58,636.0,543.0,46.0,38.0,1
59,84.0,620.0,54.0,38.0,1
60,477.0,637.0,48.0,60.0,1
61,0.0,926.0,24.0,68.0,1
62,170.0,431.0,47.0,49.0,1
63,349.0,203.0,54.0,50.0,1
64,897.0,548.0,54.0,54.0,1
65,211.0,377.0,61.0,39.0,1
66,427.0,643.0,34.0,28.0,1
