#item,x,y,width,height,label
0,962.0,425.0,62.0,185.0,1
1,529.0,150.0,83.0,59.0,1
2,395.0,49.0,98.0,86.0,1
3,501.0,367.0,99.0,167.0,1
4,933.0,366.0,91.0,51.0,1
5,761.0,781.0,140.0,78.0,1
6,932.0,154.0,90.0,143.0,1
7,475.0,802.0,125.0,85.0,1
8,881.0,899.0,119.0,95.0,1
9,800.0,228.0,77.0,97.0,1
10,197.0,133.0,81.0,106.0,1
11,66.0,22.0,105.0,125.0,1
12,95.0,803.0,91.0,95.0,1
13,388.0,837.0,95.0,73.0,1
14,958.0,856.0,66.0,78.0,1
15,504.0,713.0,126.0,91.0,1
16,947.0,758.0,77.0,79.0,1
17,804.0,98.0,81.0,49.0,1
18,544.0,235.0,92.0,79.0,1
19,872.0,681.0,116.0,74.0,1
20,51.0,676.0,69.0,54.0,1
21,626.0,891.0,103.0,87.0,1
22,704.0,147.0,77.0,77.0,1
23,197.0,820.0,76.0,62.0,1
24,689.0,574.0,90.0,98.0,1
25,419.0,226.0,81.0,108.0,1
26,474.0,922.0,116.0,102.0,1
27,65.0,918.0,107.0,87.0,1
28,191.0,0.0,54.0,78.0,1
29,0.0,975.0,105.0,49.0,1
30,9.0,98.0,95.0,105.0,1
31,164.0,988.0,75.0,36.0,1
32,4.0,710.0,86.0,124.0,1
33,845.0,98.0,128.0,91.0,1
34,428.0,721.0,68.0,90.0,1
