#item,x,y,width,height,label
0,685.0,403.0,45.0,49.0,1
1,864.0,837.0,54.0,78.0,1
2,38.0,500.0,74.0,31.0,1
3,584.0,224.0,67.0,38.0,1
4,759.0,460.0,51.0,67.0,1
5,68.0,943.0,121.0,81.0,1
6,916.0,35.0,47.0,33.0,1
7,659.0,707.0,37.0,31.0,1
8,314.0,948.0,68.0,44.0,1
9,957.0,939.0,34.0,32.0,1
10,8.0,310.0,54.0,20.0,1
11,301.0,528.0,53.0,44.0,1
12,588.0,731.0,66.0,39.0,1
13,0.0,587.0,44.0,61.0,1
14,755.0,175.0,60.0,32.0,1
15,958.0,392.0,37.0,29.0,1
16,399.0,837.0,51.0,29.0,1
17,0.0,31.0,52.0,40.0,1
18,89.0,187.0,49.0,46.0,1
19,765.0,255.0,43.0,38.0,1
20,507.0,920.0,51.0,79.0,1
21,124.0,775.0,47.0,69.0,1
22,137.0,129.0,61.0,52.0,1
23,0.0,277.0,52.0,49.0,1
24,28.0,774.0,40.0,48.0,1
25,260.0,759.0,71.0,107.0,1
26,862.0,441.0,46.0,69.0,1
27,5.0,661.0,88.0,45.0,1
28,844.0,711.0,49.0,52.0,1
29,356.0,732.0,51.0,51.0,1
30,304.0,263.0,90.0,40.0,1
31,406.0,12.0,55.0,42.0,1
32,557.0,624.0,73.0,36.0,1
33,902.0,307.0,29.0,30.0,1
34,488.0,709.0,61.0,41.0,1
35,696.0,739.0,50.0,39.0,1
36,971.0,426.0,39.0,29.0,1
37,436.0,970.0,61.0,30.0,1
38,863.0,18.0,43.0,57.0,1
39,594.0,820.0,34.0,28.0,1
40,195.0,769.0,71.0,47.0,1
41,681.0,869.0,33.0,36.0,1
42,744.0,20.0,39.0,42.0,1
43,43.0,302.0,58.0,42.0,1
44,18.0,901.0,73.0,43.0,1
45,460.0,316.0,90.0,45.0,1
46,781.0,979.0,54.0,45.0,1
