#item,x,y,width,height,label
0,451.0,508.0,80.0,64.0,1
1,460.0,71.0,73.0,41.0,1
2,901.0,252.0,55.0,69.0,1
3,226.0,0.0,72.0,28.0,1
4,324.0,476.0,81.0,72.0,1
5,200.0,867.0,64.0,97.0,1
6,129.0,180.0,59.0,95.0,1
7,951.0,675.0,69.0,70.0,1
8,572.0,323.0,99.0,97.0,1
9,928.0,52.0,67.0,71.0,1
10,244.0,636.0,68.0,124.0,1
11,745.0,188.0,64.0,83.0,1
12,656.0,638.0,86.0,74.0,1
13,44.0,841.0,55.0,117.0,1
14,779.0,113.0,58.0,67.0,1
15,694.0,537.0,65.0,71.0,1
16,311.0,382.0,77.0,71.0,1
17,746.0,0.0,78.0,21.0,1
18,301.0,0.0,77.0,56.0,1
19,512.0,921.0,71.0,60.0,1
20,844.0,62.0,104.0,93.0,1
21,948.0,231.0,50.0,73.0,1
22,732.0,392.0,68.0,68.0,1
23,426.0,193.0,77.0,63.0,1
24,866.0,432.0,55.0,61.0,1
25,86.0,600.0,87.0,99.0,1
26,810.0,687.0,64.0,75.0,1
27,995.0,804.0,29.0,64.0,1
28,126.0,275.0,146.0,64.0,1
29,934.0,364.0,73.0,102.0,1
30,870.0,930.0,58.0,69.0,1
31,166.0,772.0,60.0,88.0,1
32,294.0,972.0,55.0,52.0,1
33,356.0,92.0,69.0,90.0,1
34,0.0,771.0,41.0,70.0,1
