#item,x,y,width,height,label
0,798.0,158.0,113.0,131.0,1
1,854.0,962.0,89.0,59.0,1
2,818.0,91.0,124.0,41.0,1
3,652.0,35.0,156.0,144.0,1
4,224.0,313.0,146.0,60.0,1
5,853.0,225.0,156.0,74.0,1
6,286.0,386.0,205.0,149.0,1
7,115.0,350.0,120.0,64.0,1
8,855.0,5.0,148.0,76.0,1
9,527.0,478.0,156.0,69.0,1
10,33.0,389.0,141.0,102.0,1
11,719.0,307.0,161.0,64.0,1
12,80.0,978.0,205.0,46.0,1
13,683.0,650.0,282.0,92.0,1
14,665.0,192.0,161.0,84.0,1
15,782.0,367.0,242.0,106.0,1
16,559.0,728.0,135.0,83.0,1
17,882.0,151.0,122.0,94.0,1
18,163.0,783.0,185.0,66.0,1
19,650.0,501.0,246.0,92.0,1
20,504.0,583.0,143.0,67.0,1
21,867.0,271.0,126.0,66.0,1
22,271.0,691.0,141.0,69.0,1
23,929.0,163.0,95.0,68.0,1
24,40.0,143.0,111.0,115.0,1
25,223.0,313.0,154.0,125.0,1
26,768.0,348.0,176.0,79.0,1
27,87.0,622.0,163.0,69.0,1
28,760.0,601.0,89.0,82.0,1
29,657.0,363.0,121.0,87.0,1
30,97.0,816.0,199.0,92.0,1
