#item,x,y,width,height,label
0,393.0,469.0,62.0,52.0,1
1,760.0,930.0,36.0,57.0,1
2,149.0,914.0,63.0,77.0,1
3,50.0,927.0,39.0,52.0,1
4,904.0,271.0,93.0,77.0,1
5,0.0,941.0,60.0,78.0,1
6,349.0,309.0,62.0,49.0,1
7,472.0,774.0,97.0,84.0,1
8,0.0,404.0,62.0,63.0,1
9,0.0,821.0,39.0,51.0,1
10,273.0,628.0,109.0,68.0,1
11,291.0,867.0,79.0,154.0,1
12,921.0,375.0,103.0,92.0,1
13,597.0,810.0,95.0,83.0,1
14,628.0,894.0,44.0,32.0,1
15,52.0,319.0,53.0,58.0,1
16,362.0,238.0,43.0,39.0,1
17,879.0,389.0,65.0,73.0,1
18,716.0,375.0,182.0,55.0,1
19,446.0,381.0,170.0,99.0,1
20,81.0,970.0,47.0,53.0,1
21,644.0,205.0,69.0,45.0,1
22,919.0,212.0,103.0,74.0,1
23,369.0,300.0,62.0,83.0,1
24,598.0,998.0,50.0,26.0,1
25,617.0,489.0,36.0,34.0,1
26,497.0,187.0,93.0,91.0,1
27,717.0,233.0,132.0,81.0,1
28,786.0,718.0,63.0,66.0,1
29,615.0,225.0,113.0,86.0,1
30,1001.0,920.0,23.0,32.0,1
31,433.0,438.0,63.0,70.0,1
32,215.0,739.0,76.0,87.0,1
33,880.0,6.0,45.0,61.0,1
34,811.0,30.0,88.0,58.0,1
35,8.0,706.0,70.0,121.0,1
36,805.0,145.0,115.0,78.0,1
37,796.0,462.0,150.0,75.0,1
38,167.0,507.0,78.0,107.0,1
39,204.0,866.0,63.0,123.0,1
