#item,x,y,width,height,label
0,512.0,86.0,63.0,89.0,1
1,199.0,416.0,98.0,106.0,1
2,791.0,503.0,75.0,85.0,1
3,320.0,267.0,92.0,85.0,1
4,580.0,304.0,56.0,67.0,1
5,859.0,558.0,71.0,80.0,1
6,704.0,175.0,90.0,95.0,1
7,455.0,582.0,50.0,41.0,1
8,569.0,176.0,85.0,76.0,1
9,518.0,651.0,48.0,59.0,1
10,977.0,818.0,47.0,71.0,1
11,690.0,302.0,70.0,54.0,1
12,588.0,947.0,73.0,77.0,1
13,385.0,431.0,96.0,101.0,1
14,876.0,703.0,48.0,67.0,1
15,279.0,491.0,92.0,105.0,1
16,691.0,516.0,76.0,82.0,1
17,570.0,660.0,90.0,115.0,1
18,115.0,0.0,153.0,68.0,1
19,0.0,877.0,35.0,117.0,1
20,149.0,691.0,94.0,106.0,1
