#item,x,y,width,height,label
0,361.0,38.0,64.0,62.0,1
1,881.0,940.0,69.0,84.0,1
2,395.0,318.0,134.0,149.0,1
3,705.0,727.0,132.0,159.0,1
4,962.0,495.0,62.0,96.0,1
5,560.0,354.0,46.0,67.0,1
6,478.0,463.0,58.0,48.0,1
7,475.0,932.0,59.0,92.0,1
8,46.0,13.0,74.0,90.0,1
9,297.0,962.0,146.0,60.0,1
10,772.0,602.0,130.0,80.0,1
11,24.0,741.0,93.0,149.0,1
12,475.0,602.0,94.0,237.0,1
13,607.0,399.0,68.0,122.0,1
14,732.0,446.0,125.0,190.0,1
15,573.0,799.0,101.0,151.0,1
16,0.0,326.0,112.0,136.0,1
17,567.0,650.0,98.0,158.0,1
18,379.0,621.0,158.0,228.0,1
19,398.0,0.0,133.0,160.0,1
20,743.0,726.0,137.0,185.0,1
21,652.0,325.0,63.0,91.0,1
22,188.0,207.0,113.0,203.0,1
23,846.0,393.0,84.0,53.0,1
24,129.0,663.0,81.0,106.0,1
25,322.0,147.0,108.0,58.0,1
26,743.0,119.0,172.0,185.0,1
27,511.0,141.0,111.0,62.0,1
28,248.0,719.0,61.0,89.0,1
29,56.0,104.0,196.0,97.0,1
30,324.0,474.0,65.0,143.0,1
31,562.0,540.0,112.0,268.0,1
32,660.0,243.0,25.0,46.0,1
33,231.0,883.0,70.0,73.0,1
34,279.0,314.0,55.0,40.0,1
35,801.0,764.0,196.0,204.0,1
36,588.0,232.0,41.0,93.0,1
37,908.0,249.0,116.0,65.0,1
38,529.0,422.0,50.0,77.0,1
