#item,x,y,width,height,label
0,112.0,274.0,76.0,29.0,1
1,892.0,812.0,66.0,35.0,1
2,0.0,889.0,67.0,39.0,1
3,109.0,316.0,69.0,41.0,1
4,885.0,121.0,68.0,64.0,1
5,0.0,252.0,62.0,57.0,1
6,354.0,706.0,83.0,79.0,1
7,275.0,736.0,55.0,44.0,1
8,0.0,141.0,64.0,45.0,1
9,882.0,610.0,48.0,38.0,1
10,70.0,224.0,73.0,72.0,1
11,829.0,733.0,69.0,45.0,1
12,370.0,374.0,85.0,36.0,1
13,651.0,370.0,71.0,31.0,1
14,333.0,194.0,63.0,46.0,1
15,0.0,195.0,80.0,53.0,1
16,253.0,918.0,120.0,57.0,1
17,982.0,890.0,42.0,33.0,1
18,496.0,244.0,67.0,57.0,1
19,616.0,124.0,96.0,62.0,1
20,410.0,133.0,87.0,85.0,1
21,271.0,329.0,79.0,45.0,1
22,290.0,71.0,70.0,89.0,1
23,769.0,393.0,88.0,64.0,1
24,139.0,111.0,76.0,68.0,1
25,592.0,679.0,54.0,48.0,1
26,280.0,279.0,65.0,46.0,1
27,559.0,411.0,118.0,53.0,1
28,765.0,262.0,85.0,76.0,1
29,102.0,896.0,116.0,67.0,1
30,764.0,777.0,94.0,33.0,1
31,137.0,435.0,44.0,20.0,1
32,10.0,160.0,114.0,58.0,1
33,114.0,61.0,42.0,83.0,1
34,845.0,860.0,105.0,51.0,1
35,825.0,135.0,45.0,66.0,1
36,335.0,225.0,61.0,74.0,1
37,355.0,855.0,104.0,43.0,1
38,775.0,806.0,72.0,32.0,1
39,202.0,150.0,92.0,62.0,1
40,13.0,676.0,60.0,57.0,1
41,602.0,278.0,76.0,41.0,1
42,829.0,937.0,37.0,40.0,1
