#item,x,y,width,height,label
0,783.0,0.0,92.0,63.0,1
1,462.0,698.0,81.0,85.0,1
2,710.0,840.0,130.0,99.0,1
3,509.0,509.0,97.0,103.0,1
4,29.0,791.0,63.0,55.0,1
5,884.0,476.0,120.0,89.0,1
6,647.0,550.0,119.0,143.0,1
7,423.0,354.0,75.0,73.0,1
8,118.0,222.0,75.0,75.0,1
9,852.0,961.0,99.0,63.0,1
10,49.0,265.0,94.0,99.0,1
11,425.0,183.0,108.0,100.0,1
12,588.0,186.0,71.0,65.0,1
13,186.0,616.0,87.0,96.0,1
14,240.0,114.0,96.0,100.0,1
15,707.0,163.0,70.0,59.0,1
16,37.0,135.0,88.0,91.0,1
17,714.0,263.0,91.0,77.0,1
18,153.0,4.0,112.0,78.0,1
19,456.0,862.0,63.0,104.0,1
20,0.0,421.0,96.0,73.0,1
21,856.0,125.0,118.0,105.0,1
22,665.0,21.0,109.0,107.0,1
23,202.0,232.0,81.0,79.0,1
24,348.0,705.0,89.0,90.0,1
25,612.0,828.0,106.0,99.0,1
26,498.0,9.0,110.0,97.0,1
27,366.0,415.0,88.0,81.0,1
28,374.0,37.0,86.0,95.0,1
29,726.0,406.0,98.0,105.0,1
30,186.0,811.0,115.0,77.0,1
31,214.0,397.0,80.0,162.0,1
32,0.0,900.0,65.0,102.0,1
