#item,x,y,width,height,label
0,275.0,478.0,46.0,47.0,1
1,70.0,520.0,107.0,114.0,1
2,553.0,589.0,74.0,59.0,1
3,497.0,284.0,118.0,69.0,1
4,991.0,88.0,33.0,60.0,1
5,309.0,109.0,99.0,77.0,1
6,391.0,385.0,223.0,103.0,1
7,598.0,610.0,83.0,192.0,1
8,548.0,948.0,94.0,63.0,1
9,766.0,26.0,38.0,52.0,1
10,202.0,308.0,72.0,56.0,1
11,419.0,324.0,104.0,63.0,1
12,31.0,204.0,31.0,22.0,1
13,939.0,906.0,72.0,74.0,1
14,468.0,103.0,85.0,86.0,1
15,883.0,332.0,110.0,92.0,1
16,199.0,225.0,123.0,78.0,1
17,208.0,128.0,87.0,53.0,1
18,549.0,513.0,108.0,52.0,1
19,414.0,732.0,93.0,60.0,1
20,792.0,89.0,72.0,63.0,1
21,448.0,954.0,42.0,69.0,1
22,664.0,935.0,65.0,59.0,1
23,914.0,460.0,66.0,62.0,1
24,882.0,245.0,67.0,78.0,1
25,322.0,253.0,85.0,50.0,1
26,175.0,554.0,119.0,72.0,1
27,472.0,814.0,65.0,68.0,1
28,264.0,434.0,53.0,51.0,1
29,875.0,74.0,53.0,72.0,1
30,136.0,330.0,161.0,92.0,1
31,520.0,220.0,117.0,90.0,1
32,629.0,150.0,119.0,72.0,1
33,703.0,632.0,50.0,121.0,1
34,746.0,624.0,119.0,216.0,1
35,780.0,490.0,61.0,76.0,1
36,752.0,405.0,71.0,46.0,1
37,340.0,802.0,74.0,80.0,1
38,329.0,738.0,74.0,59.0,1
39,980.0,472.0,37.0,36.0,1
40,29.0,157.0,82.0,51.0,1
41,103.0,0.0,74.0,49.0,1
42,243.0,954.0,106.0,59.0,1
43,613.0,399.0,125.0,59.0,1
44,854.0,243.0,68.0,117.0,1
45,140.0,81.0,93.0,52.0,1
46,565.0,468.0,91.0,55.0,1
47,774.0,0.0,75.0,32.0,1
48,94.0,408.0,52.0,88.0,1
49,391.0,385.0,75.0,42.0,1
50,92.0,956.0,122.0,48.0,1
51,849.0,0.0,112.0,51.0,1
