#item,x,y,width,height,label
0,613.0,831.0,82.0,92.0,1
1,782.0,966.0,108.0,42.0,1
2,948.0,541.0,62.0,65.0,1
3,625.0,771.0,54.0,63.0,1
4,680.0,407.0,44.0,53.0,1
5,245.0,801.0,78.0,56.0,1
6,234.0,711.0,73.0,92.0,1
7,734.0,683.0,79.0,38.0,1
8,844.0,250.0,61.0,54.0,1
9,730.0,435.0,72.0,73.0,1
10,309.0,669.0,86.0,64.0,1
11,396.0,827.0,84.0,75.0,1
12,157.0,235.0,71.0,76.0,1
13,931.0,457.0,59.0,39.0,1
14,507.0,477.0,76.0,77.0,1
15,254.0,184.0,68.0,78.0,1
16,274.0,468.0,70.0,71.0,1
17,721.0,627.0,37.0,37.0,1
18,906.0,88.0,108.0,113.0,1
19,747.0,68.0,64.0,61.0,1
20,895.0,308.0,65.0,50.0,1
21,211.0,24.0,49.0,31.0,1
22,860.0,561.0,76.0,33.0,1
23,814.0,122.0,61.0,103.0,1
24,161.0,152.0,64.0,68.0,1
25,949.0,854.0,71.0,64.0,1
