#item,x,y,width,height,label
0,902.0,6.0,62.0,71.0,1
1,471.0,555.0,99.0,113.0,1
2,969.0,493.0,46.0,71.0,1
3,793.0,933.0,57.0,42.0,1
4,229.0,826.0,55.0,58.0,1
5,512.0,103.0,56.0,72.0,1
6,492.0,446.0,56.0,55.0,1
7,927.0,442.0,35.0,48.0,1
8,199.0,644.0,66.0,89.0,1
9,164.0,573.0,62.0,63.0,1
10,405.0,969.0,45.0,51.0,1
11,652.0,875.0,73.0,53.0,1
12,241.0,297.0,77.0,106.0,1
13,8.0,265.0,67.0,97.0,1
14,542.0,771.0,68.0,57.0,1
15,106.0,23.0,61.0,78.0,1
16,30.0,404.0,51.0,95.0,1
17,552.0,552.0,70.0,103.0,1
18,510.0,335.0,68.0,96.0,1
19,460.0,253.0,85.0,120.0,1
20,437.0,739.0,57.0,70.0,1
21,713.0,747.0,47.0,59.0,1
22,1.0,802.0,29.0,77.0,1
23,672.0,651.0,73.0,101.0,1
24,611.0,115.0,48.0,97.0,1
25,0.0,911.0,39.0,72.0,1
26,302.0,812.0,65.0,68.0,1
27,595.0,646.0,59.0,73.0,1
28,759.0,346.0,62.0,117.0,1
29,898.0,932.0,70.0,58.0,1
30,79.0,2.0,46.0,82.0,1
31,373.0,681.0,78.0,76.0,1
32,65.0,469.0,59.0,133.0,1
33,280.0,74.0,74.0,108.0,1
