#item,x,y,width,height,label
0,120.0,153.0,34.0,84.0,1
1,525.0,493.0,36.0,39.0,1
2,902.0,703.0,79.0,45.0,1
3,257.0,365.0,36.0,42.0,1
4,550.0,60.0,26.0,60.0,1
5,266.0,624.0,41.0,43.0,1
6,527.0,244.0,23.0,17.0,1
7,789.0,770.0,26.0,31.0,1
8,942.0,72.0,24.0,33.0,1
9,99.0,337.0,31.0,32.0,1
10,94.0,47.0,54.0,41.0,1
11,469.0,711.0,43.0,64.0,1
12,419.0,633.0,31.0,29.0,1
13,70.0,591.0,49.0,35.0,1
14,397.0,541.0,37.0,29.0,1
15,965.0,394.0,59.0,73.0,1
16,45.0,567.0,22.0,44.0,1
17,885.0,126.0,27.0,25.0,1
18,39.0,424.0,50.0,28.0,1
19,180.0,663.0,31.0,36.0,1
20,834.0,969.0,43.0,25.0,1
21,204.0,115.0,29.0,35.0,1
22,443.0,155.0,55.0,25.0,1
23,12.0,483.0,50.0,33.0,1
24,691.0,548.0,46.0,33.0,1
25,967.0,972.0,57.0,40.0,1
26,83.0,395.0,27.0,40.0,1
27,434.0,512.0,39.0,102.0,1
28,838.0,539.0,64.0,56.0,1
29,33.0,176.0,31.0,22.0,1
