#item,x,y,width,height,label
0,609.0,578.0,72.0,64.0,1
1,630.0,768.0,132.0,72.0,1
2,169.0,374.0,63.0,49.0,1
3,281.0,292.0,95.0,61.0,1
4,1.0,113.0,49.0,53.0,1
5,564.0,625.0,81.0,68.0,1
6,937.0,130.0,60.0,63.0,1
7,890.0,593.0,68.0,101.0,1
8,273.0,181.0,71.0,44.0,1
9,411.0,306.0,42.0,36.0,1
10,501.0,235.0,50.0,47.0,1
11,725.0,249.0,68.0,77.0,1
12,391.0,838.0,52.0,35.0,1
13,853.0,184.0,56.0,47.0,1
14,74.0,126.0,80.0,57.0,1
15,0.0,254.0,55.0,51.0,1
16,315.0,240.0,64.0,35.0,1
17,437.0,0.0,68.0,67.0,1
18,575.0,90.0,48.0,77.0,1
19,723.0,131.0,72.0,50.0,1
20,87.0,366.0,66.0,67.0,1
21,552.0,235.0,55.0,52.0,1
22,376.0,713.0,72.0,29.0,1
23,623.0,976.0,80.0,48.0,1
24,299.0,516.0,63.0,44.0,1
25,992.0,326.0,31.0,50.0,1
26,194.0,225.0,71.0,59.0,1
27,496.0,76.0,46.0,62.0,1
28,729.0,8.0,82.0,66.0,1
29,827.0,720.0,57.0,41.0,1
30,515.0,296.0,68.0,58.0,1
31,853.0,326.0,48.0,61.0,1
32,923.0,242.0,68.0,51.0,1
33,543.0,107.0,46.0,66.0,1
34,960.0,165.0,47.0,53.0,1
35,146.0,469.0,56.0,62.0,1
36,916.0,924.0,58.0,52.0,1
37,658.0,310.0,56.0,42.0,1
38,46.0,579.0,78.0,75.0,1
39,966.0,795.0,41.0,31.0,1
40,984.0,663.0,40.0,76.0,1
41,805.0,387.0,29.0,38.0,1
42,760.0,962.0,69.0,41.0,1
43,838.0,498.0,70.0,68.0,1
44,897.0,774.0,44.0,45.0,1
45,355.0,489.0,92.0,71.0,1
46,124.0,34.0,72.0,73.0,1
47,345.0,186.0,55.0,51.0,1
48,46.0,890.0,85.0,111.0,1
49,433.0,472.0,68.0,66.0,1
50,305.0,631.0,74.0,61.0,1
