#item,x,y,width,height,label
0,225.0,152.0,77.0,63.0,1
1,0.0,752.0,55.0,93.0,1
2,361.0,960.0,63.0,64.0,1
3,677.0,950.0,115.0,67.0,1
4,580.0,273.0,84.0,69.0,1
5,951.0,477.0,73.0,53.0,1
6,362.0,716.0,78.0,128.0,1
7,212.0,768.0,103.0,92.0,1
8,488.0,23.0,146.0,77.0,1
9,488.0,675.0,111.0,161.0,1
10,380.0,1.0,93.0,41.0,1
11,737.0,235.0,82.0,60.0,1
12,85.0,0.0,69.0,49.0,1
13,810.0,817.0,110.0,94.0,1
14,284.0,520.0,94.0,66.0,1
15,104.0,916.0,126.0,67.0,1
16,651.0,472.0,81.0,80.0,1
17,878.0,228.0,107.0,92.0,1
18,104.0,827.0,57.0,48.0,1
19,391.0,867.0,113.0,77.0,1
20,811.0,316.0,118.0,62.0,1
21,225.0,249.0,103.0,73.0,1
22,58.0,481.0,117.0,79.0,1
23,671.0,357.0,73.0,64.0,1
24,82.0,283.0,183.0,89.0,1
25,432.0,960.0,80.0,64.0,1
26,19.0,269.0,40.0,43.0,1
27,378.0,251.0,57.0,59.0,1
28,130.0,666.0,61.0,52.0,1
29,418.0,117.0,86.0,80.0,1
30,881.0,389.0,87.0,75.0,1
31,504.0,950.0,104.0,65.0,1
32,400.0,56.0,92.0,83.0,1
33,856.0,526.0,75.0,67.0,1
34,0.0,613.0,47.0,67.0,1
35,673.0,868.0,104.0,69.0,1
36,4.0,948.0,54.0,61.0,1
