#item,x,y,width,height,label
0,437.0,754.0,66.0,79.0,1
1,429.0,186.0,68.0,57.0,1
2,893.0,304.0,71.0,58.0,1
3,254.0,637.0,71.0,72.0,1
4,278.0,80.0,65.0,62.0,1
5,328.0,900.0,52.0,57.0,1
6,978.0,286.0,46.0,49.0,1
7,21.0,184.0,98.0,46.0,1
8,753.0,907.0,62.0,47.0,1
9,209.0,425.0,57.0,128.0,1
10,192.0,181.0,68.0,48.0,1
11,0.0,766.0,32.0,57.0,1
12,311.0,80.0,87.0,131.0,1
13,256.0,418.0,42.0,49.0,1
14,738.0,261.0,140.0,68.0,1
15,976.0,871.0,47.0,67.0,1
16,867.0,761.0,93.0,69.0,1
17,553.0,190.0,78.0,36.0,1
18,552.0,111.0,72.0,64.0,1
19,578.0,18.0,56.0,57.0,1
20,80.0,161.0,79.0,37.0,1
21,645.0,92.0,75.0,76.0,1
22,718.0,767.0,49.0,54.0,1
23,136.0,761.0,54.0,43.0,1
24,883.0,618.0,88.0,63.0,1
25,733.0,840.0,83.0,55.0,1
26,0.0,553.0,64.0,52.0,1
27,784.0,0.0,53.0,57.0,1
28,1.0,95.0,67.0,65.0,1
29,45.0,750.0,92.0,63.0,1
30,69.0,112.0,135.0,58.0,1
31,445.0,101.0,62.0,63.0,1
32,746.0,953.0,74.0,69.0,1
33,735.0,208.0,97.0,55.0,1
34,324.0,321.0,45.0,32.0,1
35,920.0,102.0,56.0,72.0,1
36,459.0,418.0,48.0,60.0,1
37,788.0,415.0,149.0,68.0,1
38,649.0,177.0,68.0,55.0,1
39,560.0,525.0,112.0,99.0,1
40,917.0,208.0,55.0,60.0,1
41,161.0,392.0,64.0,44.0,1
42,751.0,40.0,150.0,145.0,1
43,155.0,268.0,68.0,79.0,1
44,746.0,92.0,60.0,82.0,1
45,261.0,567.0,59.0,60.0,1
46,528.0,962.0,104.0,62.0,1
47,615.0,374.0,69.0,53.0,1
48,135.0,43.0,128.0,65.0,1
49,518.0,769.0,50.0,56.0,1
50,455.0,244.0,111.0,141.0,1
51,408.0,896.0,50.0,84.0,1
52,962.0,138.0,60.0,63.0,1
53,230.0,774.0,64.0,63.0,1
54,834.0,914.0,59.0,62.0,1
