#item,x,y,width,height,label
0,796.0,10.0,70.0,63.0,1
1,458.0,559.0,102.0,46.0,1
2,340.0,56.0,62.0,40.0,1
3,417.0,0.0,82.0,81.0,1
4,272.0,701.0,116.0,97.0,1
5,145.0,559.0,87.0,73.0,1
6,927.0,877.0,75.0,76.0,1
7,0.0,51.0,48.0,79.0,1
8,114.0,937.0,88.0,79.0,1
9,434.0,608.0,106.0,57.0,1
10,228.0,165.0,97.0,63.0,1
11,810.0,766.0,83.0,77.0,1
12,179.0,686.0,116.0,80.0,1
13,434.0,795.0,90.0,98.0,1
14,372.0,287.0,56.0,56.0,1
15,190.0,512.0,113.0,90.0,1
16,223.0,468.0,67.0,57.0,1
17,176.0,89.0,86.0,89.0,1
18,228.0,290.0,96.0,105.0,1
19,509.0,0.0,89.0,86.0,1
20,182.0,387.0,58.0,60.0,1
21,366.0,406.0,54.0,56.0,1
22,486.0,489.0,66.0,63.0,1
23,355.0,83.0,96.0,55.0,1
24,759.0,329.0,78.0,89.0,1
25,845.0,418.0,153.0,134.0,1
26,18.0,559.0,87.0,64.0,1
27,730.0,470.0,92.0,77.0,1
28,707.0,17.0,70.0,78.0,1
29,517.0,289.0,118.0,73.0,1
30,313.0,212.0,87.0,54.0,1
31,982.0,694.0,42.0,51.0,1
32,641.0,580.0,90.0,67.0,1
33,331.0,591.0,66.0,62.0,1
34,378.0,464.0,118.0,56.0,1
35,524.0,113.0,93.0,66.0,1
36,11.0,149.0,70.0,48.0,1
37,455.0,204.0,84.0,154.0,1
38,918.0,36.0,90.0,82.0,1
39,978.0,829.0,46.0,70.0,1
40,503.0,160.0,76.0,65.0,1
41,613.0,721.0,148.0,92.0,1
42,686.0,305.0,51.0,68.0,1
43,565.0,471.0,99.0,82.0,1
44,744.0,576.0,93.0,100.0,1
