#item,x,y,width,height,label
0,908.0,266.0,73.0,47.0,1
1,273.0,284.0,113.0,92.0,1
2,699.0,95.0,58.0,39.0,1
3,886.0,755.0,61.0,35.0,1
4,95.0,657.0,45.0,46.0,1
5,212.0,895.0,45.0,41.0,1
6,857.0,662.0,62.0,52.0,1
7,717.0,303.0,37.0,41.0,1
8,493.0,141.0,82.0,54.0,1
9,388.0,933.0,156.0,91.0,1
10,291.0,548.0,62.0,77.0,1
11,412.0,220.0,91.0,73.0,1
12,282.0,672.0,56.0,42.0,1
13,352.0,426.0,76.0,47.0,1
14,294.0,753.0,64.0,48.0,1
15,721.0,23.0,58.0,36.0,1
16,693.0,387.0,60.0,44.0,1
17,214.0,227.0,60.0,41.0,1
18,922.0,56.0,57.0,46.0,1
19,775.0,586.0,72.0,56.0,1
