#item,x,y,width,height,label
0,802.0,647.0,91.0,78.0,1
1,728.0,415.0,85.0,60.0,1
2,777.0,339.0,66.0,52.0,1
3,628.0,802.0,79.0,102.0,1
4,2.0,699.0,109.0,58.0,1
5,855.0,443.0,90.0,49.0,1
6,153.0,621.0,75.0,76.0,1
7,474.0,632.0,64.0,85.0,1
8,411.0,107.0,70.0,103.0,1
9,727.0,363.0,64.0,45.0,1
10,960.0,358.0,64.0,78.0,1
11,44.0,251.0,44.0,74.0,1
12,2.0,631.0,63.0,77.0,1
13,515.0,299.0,64.0,51.0,1
14,385.0,707.0,66.0,59.0,1
15,613.0,357.0,68.0,68.0,1
16,306.0,687.0,75.0,60.0,1
17,107.0,694.0,101.0,52.0,1
18,478.0,311.0,61.0,52.0,1
19,647.0,728.0,96.0,70.0,1
20,336.0,833.0,89.0,101.0,1
21,305.0,752.0,84.0,63.0,1
22,910.0,110.0,74.0,82.0,1
23,546.0,825.0,90.0,97.0,1
24,691.0,642.0,68.0,94.0,1
25,545.0,732.0,78.0,63.0,1
26,71.0,250.0,45.0,51.0,1
27,871.0,874.0,58.0,68.0,1
28,795.0,0.0,68.0,40.0,1
29,980.0,909.0,44.0,58.0,1
30,0.0,745.0,58.0,57.0,1
31,378.0,324.0,70.0,56.0,1
32,51.0,645.0,65.0,56.0,1
33,886.0,727.0,70.0,79.0,1
34,160.0,163.0,49.0,77.0,1
35,819.0,395.0,104.0,43.0,1
36,0.0,238.0,68.0,58.0,1
37,561.0,657.0,80.0,64.0,1
38,460.0,215.0,69.0,87.0,1
39,403.0,765.0,64.0,94.0,1
40,851.0,942.0,76.0,74.0,1
41,944.0,776.0,80.0,71.0,1
42,627.0,302.0,86.0,45.0,1
43,813.0,257.0,65.0,89.0,1
44,789.0,691.0,69.0,68.0,1
45,239.0,632.0,98.0,56.0,1
46,90.0,758.0,77.0,42.0,1
47,298.0,280.0,109.0,53.0,1
48,434.0,811.0,95.0,74.0,1
49,148.0,795.0,114.0,147.0,1
50,325.0,187.0,115.0,71.0,1
51,120.0,265.0,55.0,78.0,1
