#item,x,y,width,height,label
0,361.0,772.0,101.0,62.0,1
1,837.0,200.0,68.0,79.0,1
2,537.0,343.0,131.0,93.0,1
3,0.0,516.0,49.0,133.0,1
4,736.0,122.0,79.0,67.0,1
5,671.0,657.0,102.0,100.0,1
6,955.0,231.0,69.0,71.0,1
7,643.0,129.0,70.0,86.0,1
8,486.0,133.0,96.0,92.0,1
9,456.0,791.0,107.0,69.0,1
10,4.0,41.0,144.0,128.0,1
11,941.0,600.0,83.0,60.0,1
12,862.0,755.0,67.0,124.0,1
13,877.0,871.0,54.0,78.0,1
14,515.0,901.0,85.0,60.0,1
15,959.0,680.0,55.0,121.0,1
16,462.0,234.0,86.0,60.0,1
17,922.0,946.0,74.0,65.0,1
18,392.0,260.0,89.0,62.0,1
19,384.0,428.0,146.0,60.0,1
20,444.0,869.0,67.0,49.0,1
21,672.0,810.0,127.0,68.0,1
22,617.0,580.0,77.0,58.0,1
23,684.0,220.0,53.0,51.0,1
24,922.0,467.0,100.0,74.0,1
25,971.0,385.0,53.0,95.0,1
26,440.0,692.0,104.0,63.0,1
27,616.0,884.0,63.0,54.0,1
28,604.0,963.0,69.0,61.0,1
29,298.0,948.0,99.0,76.0,1
30,768.0,967.0,95.0,57.0,1
31,701.0,882.0,58.0,66.0,1
32,93.0,686.0,71.0,77.0,1
33,593.0,225.0,60.0,51.0,1
34,494.0,291.0,101.0,93.0,1
35,604.0,716.0,90.0,75.0,1
36,563.0,631.0,67.0,74.0,1
37,733.0,443.0,80.0,53.0,1
38,496.0,440.0,106.0,101.0,1
39,445.0,658.0,58.0,58.0,1
40,647.0,275.0,86.0,65.0,1
