#item,x,y,width,height,label
0,901.0,563.0,89.0,77.0,1
1,546.0,582.0,106.0,183.0,1
2,1000.0,689.0,24.0,94.0,1
3,838.0,772.0,72.0,80.0,1
4,0.0,94.0,62.0,72.0,1
5,233.0,905.0,78.0,119.0,1
6,314.0,214.0,87.0,152.0,1
7,355.0,615.0,144.0,156.0,1
8,235.0,592.0,107.0,122.0,1
9,551.0,1001.0,52.0,23.0,1
10,695.0,966.0,97.0,58.0,1
11,0.0,645.0,88.0,93.0,1
12,619.0,793.0,100.0,98.0,1
13,403.0,763.0,67.0,182.0,1
14,184.0,231.0,112.0,92.0,1
15,36.0,548.0,84.0,99.0,1
16,911.0,62.0,113.0,113.0,1
17,768.0,0.0,86.0,26.0,1
18,789.0,95.0,132.0,235.0,1
19,819.0,604.0,109.0,160.0,1
20,736.0,608.0,90.0,163.0,1
21,55.0,923.0,83.0,101.0,1
22,184.0,657.0,106.0,254.0,1
23,811.0,465.0,96.0,90.0,1
24,201.0,0.0,138.0,96.0,1
25,222.0,226.0,98.0,156.0,1
26,230.0,393.0,148.0,168.0,1
27,358.0,537.0,75.0,65.0,1
28,832.0,0.0,86.0,73.0,1
29,287.0,719.0,97.0,118.0,1
30,335.0,14.0,85.0,80.0,1
31,932.0,323.0,92.0,115.0,1
32,654.0,371.0,114.0,103.0,1
33,508.0,268.0,111.0,174.0,1
34,493.0,193.0,92.0,82.0,1
