#item,x,y,width,height,label
0,742.0,570.0,75.0,77.0,1
1,482.0,337.0,55.0,58.0,1
2,317.0,661.0,61.0,56.0,1
3,0.0,366.0,70.0,62.0,1
4,215.0,940.0,68.0,66.0,1
5,908.0,115.0,71.0,61.0,1
6,799.0,834.0,94.0,62.0,1
7,855.0,911.0,63.0,59.0,1
8,111.0,443.0,64.0,64.0,1
9,490.0,87.0,56.0,61.0,1
10,261.0,449.0,47.0,61.0,1
11,811.0,462.0,71.0,58.0,1
12,206.0,795.0,123.0,82.0,1
13,271.0,245.0,80.0,61.0,1
14,130.0,176.0,64.0,62.0,1
15,855.0,679.0,61.0,64.0,1
16,245.0,418.0,50.0,49.0,1
17,342.0,468.0,68.0,44.0,1
18,882.0,549.0,60.0,97.0,1
19,520.0,903.0,60.0,82.0,1
20,721.0,886.0,64.0,90.0,1
21,878.0,380.0,55.0,54.0,1
22,6.0,829.0,101.0,55.0,1
23,626.0,291.0,57.0,71.0,1
24,815.0,538.0,54.0,63.0,1
25,195.0,673.0,78.0,51.0,1
26,768.0,979.0,69.0,45.0,1
27,524.0,742.0,63.0,88.0,1
28,49.0,747.0,127.0,67.0,1
29,408.0,605.0,74.0,51.0,1
30,549.0,361.0,61.0,62.0,1
31,264.0,477.0,75.0,65.0,1
32,953.0,600.0,58.0,66.0,1
33,463.0,795.0,63.0,69.0,1
34,374.0,408.0,69.0,52.0,1
35,55.0,503.0,52.0,53.0,1
36,538.0,813.0,55.0,55.0,1
37,768.0,291.0,86.0,53.0,1
38,808.0,376.0,50.0,73.0,1
39,260.0,848.0,82.0,60.0,1
40,447.0,733.0,65.0,62.0,1
41,444.0,48.0,75.0,72.0,1
42,38.0,182.0,62.0,60.0,1
43,509.0,586.0,62.0,82.0,1
44,649.0,544.0,69.0,117.0,1
45,395.0,348.0,67.0,60.0,1
46,404.0,908.0,65.0,81.0,1
47,235.0,322.0,76.0,81.0,1
48,712.0,518.0,66.0,57.0,1
49,79.0,12.0,88.0,81.0,1
50,885.0,21.0,75.0,77.0,1
51,940.0,930.0,84.0,93.0,1
52,329.0,324.0,55.0,64.0,1
53,934.0,328.0,67.0,63.0,1
54,591.0,445.0,65.0,59.0,1
55,721.0,292.0,56.0,44.0,1
