#item,x,y,width,height,label
0,792.0,364.0,46.0,73.0,1
1,907.0,176.0,65.0,53.0,1
2,564.0,641.0,82.0,137.0,1
3,133.0,471.0,42.0,52.0,1
4,634.0,273.0,67.0,39.0,1
5,969.0,802.0,52.0,32.0,1
6,239.0,754.0,37.0,33.0,1
7,73.0,581.0,127.0,39.0,1
8,632.0,0.0,73.0,118.0,1
9,964.0,841.0,60.0,66.0,1
10,474.0,805.0,123.0,60.0,1
11,745.0,738.0,191.0,60.0,1
12,67.0,698.0,123.0,59.0,1
13,161.0,340.0,28.0,24.0,1
14,732.0,377.0,60.0,86.0,1
15,210.0,692.0,52.0,49.0,1
16,654.0,345.0,31.0,56.0,1
17,498.0,942.0,50.0,82.0,1
18,792.0,373.0,94.0,139.0,1
19,896.0,364.0,128.0,58.0,1
20,107.0,768.0,221.0,75.0,1
21,551.0,324.0,76.0,42.0,1
22,845.0,799.0,60.0,55.0,1
23,269.0,720.0,52.0,37.0,1
24,228.0,893.0,102.0,131.0,1
25,0.0,365.0,140.0,114.0,1
26,119.0,357.0,102.0,70.0,1
27,508.0,474.0,54.0,71.0,1
28,685.0,345.0,64.0,64.0,1
29,656.0,892.0,47.0,132.0,1
30,391.0,991.0,48.0,32.0,1
31,140.0,427.0,52.0,37.0,1
32,813.0,823.0,60.0,62.0,1
33,335.0,389.0,57.0,41.0,1
34,758.0,522.0,92.0,49.0,1
35,528.0,469.0,116.0,172.0,1
36,98.0,338.0,69.0,32.0,1
37,0.0,186.0,68.0,65.0,1
38,894.0,499.0,66.0,150.0,1
39,498.0,386.0,82.0,118.0,1
40,57.0,29.0,73.0,154.0,1
41,284.0,276.0,198.0,62.0,1
42,266.0,243.0,120.0,70.0,1
43,678.0,850.0,71.0,42.0,1
44,353.0,338.0,145.0,133.0,1
45,792.0,913.0,110.0,70.0,1
46,964.0,162.0,60.0,55.0,1
