#item,x,y,width,height,label
0,763.0,368.0,76.0,56.0,1
1,575.0,950.0,100.0,74.0,1
2,606.0,783.0,118.0,62.0,1
3,529.0,239.0,54.0,74.0,1
4,527.0,494.0,40.0,49.0,1
5,575.0,844.0,97.0,101.0,1
6,473.0,597.0,110.0,39.0,1
7,683.0,747.0,136.0,68.0,1
8,501.0,630.0,126.0,41.0,1
9,40.0,702.0,54.0,37.0,1
10,861.0,870.0,41.0,37.0,1
11,451.0,1.0,94.0,65.0,1
12,429.0,856.0,70.0,55.0,1
13,622.0,259.0,112.0,55.0,1
14,244.0,67.0,59.0,50.0,1
15,52.0,810.0,79.0,37.0,1
16,516.0,946.0,80.0,59.0,1
17,342.0,245.0,113.0,105.0,1
18,572.0,144.0,85.0,42.0,1
19,608.0,783.0,77.0,35.0,1
20,118.0,287.0,110.0,49.0,1
21,840.0,993.0,90.0,31.0,1
22,777.0,144.0,97.0,92.0,1
23,641.0,218.0,99.0,48.0,1
24,911.0,700.0,64.0,64.0,1
25,11.0,253.0,103.0,40.0,1
26,56.0,51.0,88.0,45.0,1
27,387.0,710.0,86.0,44.0,1
28,978.0,717.0,46.0,41.0,1
29,294.0,892.0,70.0,66.0,1
30,718.0,126.0,82.0,63.0,1
31,53.0,3.0,53.0,51.0,1
32,799.0,571.0,85.0,59.0,1
33,288.0,59.0,23.0,40.0,1
34,752.0,62.0,142.0,73.0,1
35,100.0,534.0,45.0,89.0,1
36,594.0,382.0,93.0,69.0,1
37,261.0,563.0,49.0,47.0,1
38,135.0,881.0,47.0,58.0,1
39,812.0,93.0,98.0,79.0,1
40,694.0,664.0,95.0,68.0,1
41,967.0,684.0,57.0,37.0,1
42,160.0,0.0,55.0,47.0,1
43,224.0,506.0,106.0,65.0,1
44,790.0,653.0,151.0,45.0,1
45,278.0,925.0,37.0,41.0,1
46,371.0,58.0,44.0,51.0,1
47,150.0,783.0,140.0,54.0,1
48,863.0,810.0,70.0,35.0,1
49,137.0,247.0,31.0,42.0,1
50,923.0,976.0,51.0,39.0,1
51,692.0,621.0,114.0,51.0,1
52,60.0,119.0,28.0,48.0,1
53,477.0,721.0,117.0,48.0,1
54,494.0,92.0,36.0,65.0,1
55,0.0,541.0,108.0,71.0,1
56,325.0,137.0,118.0,68.0,1
57,0.0,187.0,70.0,33.0,1
58,368.0,644.0,40.0,38.0,1
59,727.0,789.0,70.0,49.0,1
60,615.0,148.0,112.0,61.0,1
61,172.0,720.0,138.0,82.0,1
62,643.0,11.0,102.0,85.0,1
63,853.0,145.0,85.0,122.0,1
64,545.0,776.0,64.0,68.0,1
65,29.0,284.0,62.0,37.0,1
66,583.0,574.0,139.0,67.0,1
67,69.0,917.0,52.0,37.0,1
68,468.0,321.0,39.0,43.0,1
69,916.0,90.0,108.0,54.0,1
70,727.0,406.0,45.0,41.0,1
71,107.0,528.0,90.0,47.0,1
72,389.0,215.0,58.0,57.0,1
73,543.0,680.0,76.0,53.0,1
74,459.0,844.0,92.0,38.0,1
75,269.0,15.0,38.0,53.0,1
76,120.0,141.0,119.0,52.0,1
77,888.0,247.0,136.0,61.0,1
78,193.0,214.0,38.0,42.0,1
79,860.0,709.0,70.0,60.0,1
80,367.0,838.0,52.0,86.0,1
81,548.0,1.0,55.0,31.0,1
82,260.0,159.0,45.0,60.0,1
83,209.0,21.0,62.0,80.0,1
84,605.0,58.0,135.0,77.0,1
85,888.0,358.0,61.0,43.0,1
86,822.0,0.0,89.0,75.0,1
87,926.0,154.0,71.0,70.0,1
88,179.0,476.0,60.0,55.0,1
89,66.0,728.0,83.0,76.0,1
90,443.0,748.0,83.0,63.0,1
91,412.0,584.0,64.0,39.0,1
92,712.0,952.0,98.0,39.0,1
93,177.0,720.0,42.0,44.0,1
