#item,x,y,width,height,label
0,347.0,801.0,95.0,135.0,1
1,314.0,866.0,100.0,147.0,1
2,376.0,685.0,113.0,102.0,1
3,670.0,503.0,82.0,62.0,1
4,138.0,816.0,166.0,91.0,1
5,145.0,0.0,90.0,54.0,1
6,790.0,96.0,117.0,150.0,1
7,488.0,861.0,65.0,69.0,1
8,245.0,612.0,69.0,68.0,1
9,207.0,765.0,87.0,64.0,1
10,959.0,820.0,65.0,74.0,1
11,948.0,176.0,72.0,111.0,1
12,602.0,851.0,150.0,125.0,1
13,69.0,181.0,64.0,105.0,1
14,898.0,431.0,100.0,77.0,1
15,121.0,157.0,90.0,86.0,1
16,667.0,796.0,97.0,61.0,1
17,811.0,859.0,58.0,72.0,1
18,521.0,685.0,254.0,79.0,1
19,616.0,64.0,93.0,166.0,1
20,720.0,865.0,61.0,43.0,1
21,504.0,0.0,117.0,243.0,1
22,287.0,202.0,70.0,170.0,1
23,762.0,320.0,89.0,84.0,1
24,329.0,613.0,93.0,61.0,1
25,1.0,415.0,29.0,83.0,1
26,898.0,916.0,62.0,108.0,1
27,822.0,0.0,102.0,72.0,1
28,0.0,286.0,35.0,82.0,1
29,937.0,50.0,82.0,67.0,1
30,904.0,588.0,105.0,115.0,1
31,913.0,897.0,70.0,85.0,1
32,606.0,529.0,130.0,96.0,1
