#item,x,y,width,height,label
0,630.0,102.0,149.0,90.0,1
1,253.0,667.0,75.0,74.0,1
2,0.0,849.0,46.0,77.0,1
3,1.0,209.0,48.0,84.0,1
4,555.0,379.0,117.0,101.0,1
5,644.0,33.0,95.0,76.0,1
6,439.0,69.0,111.0,79.0,1
7,399.0,210.0,106.0,120.0,1
8,256.0,826.0,84.0,79.0,1
9,132.0,815.0,85.0,107.0,1
10,950.0,38.0,74.0,86.0,1
11,589.0,877.0,83.0,140.0,1
12,727.0,680.0,91.0,82.0,1
13,128.0,165.0,105.0,89.0,1
14,524.0,605.0,63.0,66.0,1
15,851.0,339.0,54.0,74.0,1
16,621.0,293.0,106.0,65.0,1
17,909.0,869.0,92.0,61.0,1
18,781.0,476.0,83.0,80.0,1
19,0.0,662.0,59.0,67.0,1
20,700.0,961.0,128.0,63.0,1
21,954.0,0.0,50.0,53.0,1
22,869.0,520.0,53.0,106.0,1
23,364.0,25.0,64.0,58.0,1
24,459.0,720.0,108.0,142.0,1
25,492.0,604.0,40.0,66.0,1
26,0.0,392.0,46.0,103.0,1
27,300.0,775.0,58.0,81.0,1
28,500.0,325.0,100.0,78.0,1
29,116.0,304.0,126.0,91.0,1
30,364.0,785.0,63.0,111.0,1
31,124.0,653.0,71.0,68.0,1
32,986.0,961.0,38.0,59.0,1
33,442.0,967.0,124.0,57.0,1
