#item,x,y,width,height,label
0,888.0,0.0,136.0,164.0,1
1,858.0,570.0,94.0,143.0,1
2,256.0,10.0,128.0,134.0,1
3,310.0,302.0,57.0,75.0,1
4,918.0,965.0,85.0,59.0,1
5,757.0,344.0,126.0,119.0,1
6,783.0,0.0,87.0,73.0,1
7,60.0,465.0,94.0,75.0,1
8,177.0,879.0,98.0,145.0,1
9,557.0,889.0,118.0,101.0,1
10,666.0,425.0,98.0,81.0,1
11,732.0,890.0,89.0,121.0,1
12,32.0,280.0,92.0,106.0,1
13,448.0,19.0,96.0,90.0,1
14,619.0,451.0,102.0,159.0,1
15,408.0,952.0,100.0,72.0,1
16,31.0,122.0,91.0,84.0,1
17,322.0,912.0,94.0,84.0,1
18,565.0,0.0,163.0,71.0,1
19,133.0,982.0,114.0,42.0,1
20,11.0,35.0,96.0,102.0,1
21,92.0,25.0,105.0,122.0,1
22,928.0,866.0,96.0,79.0,1
23,540.0,226.0,107.0,113.0,1
24,608.0,86.0,101.0,91.0,1
25,301.0,515.0,90.0,93.0,1
26,960.0,550.0,64.0,80.0,1
27,337.0,376.0,109.0,87.0,1
28,736.0,280.0,141.0,74.0,1
29,414.0,525.0,103.0,111.0,1
30,96.0,201.0,112.0,98.0,1
31,612.0,815.0,56.0,71.0,1
32,636.0,617.0,90.0,128.0,1
33,444.0,325.0,115.0,166.0,1
34,154.0,653.0,89.0,94.0,1
35,294.0,206.0,141.0,103.0,1
