#item,x,y,width,height,label
0,936.0,479.0,42.0,87.0,1
1,239.0,443.0,67.0,48.0,1
2,632.0,795.0,86.0,44.0,1
3,380.0,353.0,72.0,123.0,1
4,84.0,557.0,127.0,45.0,1
5,271.0,916.0,78.0,104.0,1
6,981.0,819.0,39.0,64.0,1
7,125.0,263.0,81.0,33.0,1
8,865.0,52.0,37.0,18.0,1
9,84.0,733.0,63.0,71.0,1
10,622.0,126.0,47.0,42.0,1
11,143.0,491.0,55.0,36.0,1
12,636.0,236.0,37.0,25.0,1
13,389.0,294.0,69.0,48.0,1
14,485.0,974.0,43.0,38.0,1
15,270.0,183.0,53.0,47.0,1
16,117.0,17.0,51.0,52.0,1
17,259.0,853.0,49.0,55.0,1
18,453.0,313.0,75.0,87.0,1
19,365.0,0.0,42.0,34.0,1
20,749.0,658.0,64.0,60.0,1
21,0.0,815.0,37.0,57.0,1
22,325.0,550.0,97.0,77.0,1
23,809.0,150.0,55.0,38.0,1
24,924.0,947.0,38.0,55.0,1
25,141.0,322.0,61.0,53.0,1
26,839.0,230.0,60.0,48.0,1
27,56.0,180.0,45.0,27.0,1
28,838.0,13.0,47.0,38.0,1
29,704.0,562.0,58.0,54.0,1
30,732.0,974.0,39.0,48.0,1
31,767.0,439.0,54.0,27.0,1
32,43.0,305.0,56.0,53.0,1
33,537.0,662.0,32.0,42.0,1
34,617.0,973.0,47.0,48.0,1
35,601.0,857.0,35.0,69.0,1
36,891.0,989.0,50.0,34.0,1
37,617.0,521.0,51.0,75.0,1
38,959.0,418.0,63.0,79.0,1
39,304.0,800.0,46.0,93.0,1
40,291.0,276.0,75.0,77.0,1
41,127.0,871.0,45.0,62.0,1
42,2.0,835.0,104.0,104.0,1
43,186.0,605.0,55.0,80.0,1
44,79.0,231.0,106.0,32.0,1
45,546.0,924.0,91.0,100.0,1
46,461.0,523.0,57.0,50.0,1
47,748.0,744.0,45.0,71.0,1
48,823.0,676.0,55.0,45.0,1
49,703.0,351.0,70.0,70.0,1
50,172.0,852.0,81.0,120.0,1
