#item,x,y,width,height,label
0,642.0,40.0,110.0,77.0,1
1,706.0,607.0,86.0,52.0,1
2,735.0,488.0,91.0,44.0,1
3,435.0,97.0,66.0,50.0,1
4,737.0,271.0,138.0,41.0,1
5,871.0,980.0,106.0,44.0,1
6,686.0,911.0,88.0,72.0,1
7,530.0,888.0,85.0,52.0,1
8,622.0,20.0,102.0,49.0,1
9,826.0,483.0,184.0,67.0,1
10,780.0,235.0,139.0,49.0,1
11,791.0,12.0,148.0,67.0,1
12,591.0,342.0,91.0,55.0,1
13,773.0,128.0,148.0,76.0,1
14,744.0,294.0,158.0,39.0,1
15,485.0,611.0,84.0,64.0,1
16,510.0,216.0,64.0,34.0,1
17,755.0,75.0,106.0,36.0,1
18,873.0,739.0,144.0,75.0,1
19,545.0,0.0,120.0,58.0,1
20,826.0,683.0,123.0,63.0,1
21,959.0,546.0,65.0,77.0,1
