#item,x,y,width,height,label
0,3.0,916.0,96.0,69.0,1
1,114.0,217.0,137.0,84.0,1
2,752.0,777.0,73.0,88.0,1
3,579.0,366.0,187.0,72.0,1
4,329.0,900.0,85.0,72.0,1
5,858.0,897.0,46.0,64.0,1
6,309.0,13.0,127.0,102.0,1
7,425.0,312.0,85.0,166.0,1
8,775.0,138.0,123.0,90.0,1
9,427.0,161.0,156.0,77.0,1
10,494.0,150.0,91.0,74.0,1
11,12.0,160.0,64.0,104.0,1
12,793.0,296.0,68.0,73.0,1
13,190.0,0.0,117.0,108.0,1
14,0.0,15.0,97.0,129.0,1
15,315.0,155.0,70.0,54.0,1
16,516.0,802.0,87.0,71.0,1
17,609.0,871.0,77.0,66.0,1
18,379.0,307.0,56.0,66.0,1
19,129.0,968.0,89.0,56.0,1
20,69.0,871.0,84.0,63.0,1
21,21.0,209.0,82.0,59.0,1
22,998.0,0.0,26.0,66.0,1
23,596.0,225.0,87.0,86.0,1
24,990.0,716.0,34.0,95.0,1
25,0.0,236.0,71.0,65.0,1
26,103.0,765.0,65.0,85.0,1
27,739.0,39.0,100.0,141.0,1
28,185.0,131.0,74.0,61.0,1
29,489.0,891.0,67.0,99.0,1
30,81.0,939.0,75.0,57.0,1
31,539.0,862.0,63.0,70.0,1
32,877.0,166.0,105.0,155.0,1
33,918.0,102.0,83.0,113.0,1
34,709.0,896.0,83.0,75.0,1
35,164.0,769.0,94.0,126.0,1
36,753.0,996.0,58.0,28.0,1
37,89.0,156.0,94.0,59.0,1
38,141.0,896.0,74.0,67.0,1
39,707.0,573.0,114.0,117.0,1
40,569.0,706.0,94.0,87.0,1
41,676.0,209.0,121.0,104.0,1
42,993.0,320.0,31.0,54.0,1
43,292.0,929.0,71.0,82.0,1
44,572.0,278.0,57.0,48.0,1
45,581.0,817.0,46.0,64.0,1
46,236.0,169.0,75.0,88.0,1
47,362.0,408.0,85.0,132.0,1
