#item,x,y,width,height,label
0,777.0,766.0,76.0,71.0,1
1,713.0,147.0,66.0,84.0,1
2,342.0,391.0,66.0,55.0,1
3,68.0,765.0,95.0,63.0,1
4,376.0,720.0,93.0,90.0,1
5,695.0,367.0,65.0,76.0,1
6,857.0,31.0,97.0,135.0,1
7,598.0,308.0,57.0,68.0,1
8,574.0,223.0,73.0,74.0,1
9,277.0,71.0,62.0,81.0,1
10,408.0,362.0,98.0,82.0,1
11,746.0,841.0,70.0,65.0,1
12,768.0,941.0,99.0,75.0,1
13,499.0,548.0,98.0,90.0,1
14,504.0,696.0,62.0,87.0,1
15,462.0,256.0,75.0,76.0,1
16,917.0,630.0,107.0,110.0,1
17,784.0,393.0,86.0,87.0,1
18,947.0,0.0,77.0,85.0,1
19,111.0,183.0,89.0,78.0,1
20,254.0,9.0,57.0,71.0,1
21,598.0,453.0,77.0,83.0,1
22,404.0,923.0,85.0,101.0,1
23,252.0,354.0,83.0,75.0,1
24,560.0,88.0,81.0,112.0,1
25,166.0,968.0,76.0,56.0,1
26,684.0,0.0,90.0,70.0,1
27,361.0,287.0,83.0,91.0,1
28,817.0,352.0,79.0,87.0,1
29,716.0,99.0,60.0,53.0,1
30,247.0,817.0,121.0,100.0,1
31,425.0,0.0,80.0,43.0,1
32,812.0,854.0,105.0,81.0,1
33,623.0,684.0,73.0,116.0,1
34,321.0,496.0,84.0,135.0,1
35,801.0,510.0,89.0,100.0,1
36,41.0,0.0,102.0,103.0,1
37,142.0,280.0,65.0,74.0,1
