#item,x,y,width,height,label
0,794.0,994.0,62.0,30.0,1
1,86.0,5.0,96.0,89.0,1
2,512.0,832.0,54.0,56.0,1
3,493.0,853.0,132.0,159.0,1
4,101.0,564.0,43.0,35.0,1
5,292.0,131.0,64.0,56.0,1
6,888.0,24.0,74.0,75.0,1
7,111.0,475.0,63.0,84.0,1
8,381.0,378.0,72.0,110.0,1
9,101.0,591.0,149.0,98.0,1
10,7.0,3.0,79.0,87.0,1
11,901.0,956.0,69.0,67.0,1
12,897.0,721.0,127.0,137.0,1
13,406.0,166.0,93.0,85.0,1
14,25.0,357.0,123.0,89.0,1
15,812.0,699.0,84.0,218.0,1
16,47.0,149.0,85.0,43.0,1
17,265.0,261.0,98.0,110.0,1
18,626.0,926.0,98.0,98.0,1
19,726.0,32.0,81.0,71.0,1
20,521.0,340.0,213.0,101.0,1
21,294.0,392.0,182.0,76.0,1
22,659.0,258.0,171.0,161.0,1
23,7.0,270.0,96.0,56.0,1
24,618.0,566.0,113.0,160.0,1
25,243.0,37.0,90.0,86.0,1
26,73.0,960.0,88.0,59.0,1
