#item,x,y,width,height,label
0,94.0,426.0,63.0,66.0,1
1,990.0,852.0,34.0,82.0,1
2,679.0,526.0,49.0,43.0,1
3,40.0,200.0,86.0,67.0,1
4,17.0,0.0,66.0,43.0,1
5,932.0,544.0,91.0,101.0,1
6,248.0,177.0,67.0,70.0,1
7,801.0,230.0,93.0,58.0,1
8,97.0,535.0,90.0,73.0,1
9,517.0,474.0,76.0,70.0,1
10,824.0,434.0,104.0,86.0,1
11,817.0,53.0,78.0,56.0,1
12,868.0,659.0,104.0,52.0,1
13,785.0,102.0,54.0,45.0,1
14,158.0,604.0,87.0,58.0,1
15,690.0,422.0,53.0,42.0,1
16,819.0,920.0,81.0,66.0,1
17,771.0,37.0,57.0,35.0,1
18,707.0,332.0,91.0,101.0,1
19,951.0,213.0,69.0,92.0,1
20,920.0,419.0,81.0,69.0,1
21,68.0,929.0,65.0,60.0,1
22,0.0,900.0,68.0,60.0,1
23,258.0,418.0,67.0,67.0,1
24,65.0,736.0,57.0,61.0,1
25,250.0,675.0,66.0,45.0,1
26,661.0,456.0,71.0,79.0,1
27,125.0,312.0,86.0,63.0,1
