#item,x,y,width,height,label
0,594.0,195.0,101.0,74.0,1
1,992.0,772.0,32.0,66.0,1
2,207.0,129.0,114.0,69.0,1
3,305.0,624.0,139.0,88.0,1
4,379.0,183.0,93.0,124.0,1
5,953.0,86.0,71.0,88.0,1
6,1.0,705.0,58.0,72.0,1
7,334.0,480.0,105.0,85.0,1
8,121.0,0.0,137.0,84.0,1
9,582.0,125.0,71.0,89.0,1
10,647.0,965.0,67.0,59.0,1
11,208.0,228.0,75.0,109.0,1
12,919.0,246.0,105.0,149.0,1
13,147.0,167.0,89.0,118.0,1
14,569.0,653.0,71.0,69.0,1
15,137.0,498.0,107.0,92.0,1
16,799.0,844.0,85.0,134.0,1
17,0.0,877.0,98.0,115.0,1
18,730.0,109.0,167.0,207.0,1
19,0.0,1002.0,43.0,22.0,1
20,673.0,795.0,79.0,93.0,1
21,872.0,0.0,79.0,78.0,1
22,541.0,43.0,83.0,77.0,1
23,860.0,285.0,53.0,57.0,1
24,523.0,937.0,65.0,87.0,1
25,990.0,637.0,34.0,117.0,1
26,508.0,321.0,167.0,152.0,1
27,365.0,53.0,139.0,149.0,1
28,372.0,844.0,90.0,152.0,1
29,246.0,364.0,77.0,208.0,1
30,504.0,577.0,73.0,69.0,1
31,441.0,309.0,78.0,86.0,1
32,640.0,74.0,69.0,69.0,1
33,774.0,592.0,59.0,61.0,1
34,734.0,888.0,53.0,136.0,1
35,442.0,937.0,77.0,87.0,1
36,121.0,889.0,107.0,99.0,1
