#item,x,y,width,height,label
0,281.0,858.0,81.0,54.0,1
1,565.0,914.0,73.0,51.0,1
2,195.0,129.0,47.0,77.0,1
3,684.0,243.0,84.0,133.0,1
4,804.0,653.0,75.0,64.0,1
5,862.0,712.0,60.0,87.0,1
6,459.0,560.0,64.0,82.0,1
7,758.0,219.0,131.0,68.0,1
8,400.0,94.0,74.0,149.0,1
9,340.0,702.0,62.0,59.0,1
10,650.0,71.0,75.0,88.0,1
11,796.0,474.0,82.0,82.0,1
12,469.0,794.0,35.0,33.0,1
13,747.0,776.0,61.0,75.0,1
14,572.0,260.0,59.0,139.0,1
15,636.0,141.0,82.0,99.0,1
16,354.0,920.0,31.0,39.0,1
17,271.0,97.0,54.0,127.0,1
18,737.0,840.0,110.0,75.0,1
19,307.0,174.0,60.0,90.0,1
20,359.0,228.0,78.0,100.0,1
21,241.0,756.0,68.0,86.0,1
22,710.0,504.0,78.0,74.0,1
23,160.0,653.0,121.0,90.0,1
24,405.0,839.0,70.0,79.0,1
25,545.0,695.0,53.0,74.0,1
26,39.0,0.0,76.0,108.0,1
27,817.0,29.0,79.0,154.0,1
28,77.0,376.0,101.0,103.0,1
29,796.0,722.0,74.0,78.0,1
30,922.0,815.0,102.0,70.0,1
31,190.0,195.0,74.0,92.0,1
32,526.0,608.0,113.0,83.0,1
33,864.0,937.0,66.0,78.0,1
34,899.0,551.0,125.0,201.0,1
35,799.0,246.0,81.0,131.0,1
36,593.0,755.0,68.0,109.0,1
37,55.0,653.0,79.0,131.0,1
38,660.0,781.0,82.0,92.0,1
39,918.0,417.0,105.0,268.0,1
40,600.0,512.0,88.0,92.0,1
41,477.0,194.0,73.0,130.0,1
42,208.0,0.0,72.0,124.0,1
43,707.0,133.0,85.0,99.0,1
44,916.0,624.0,70.0,109.0,1
45,112.0,206.0,62.0,71.0,1
