#item,x,y,width,height,label
0,602.0,391.0,65.0,69.0,1
1,462.0,301.0,87.0,94.0,1
2,134.0,163.0,114.0,173.0,1
3,37.0,965.0,66.0,59.0,1
4,0.0,622.0,51.0,98.0,1
5,297.0,0.0,79.0,17.0,1
6,835.0,167.0,100.0,89.0,1
7,555.0,309.0,80.0,63.0,1
8,193.0,97.0,87.0,81.0,1
9,917.0,76.0,85.0,73.0,1
10,751.0,198.0,93.0,88.0,1
11,11.0,882.0,67.0,69.0,1
12,13.0,451.0,79.0,128.0,1
13,53.0,348.0,75.0,87.0,1
14,801.0,963.0,75.0,61.0,1
15,139.0,709.0,71.0,86.0,1
16,466.0,803.0,75.0,99.0,1
17,933.0,763.0,81.0,107.0,1
18,116.0,935.0,92.0,84.0,1
19,584.0,214.0,58.0,65.0,1
20,651.0,17.0,81.0,85.0,1
21,102.0,474.0,73.0,63.0,1
22,299.0,359.0,79.0,117.0,1
23,234.0,23.0,65.0,83.0,1
24,995.0,352.0,29.0,73.0,1
25,899.0,974.0,91.0,50.0,1
26,46.0,68.0,168.0,68.0,1
27,155.0,817.0,83.0,74.0,1
28,756.0,730.0,82.0,91.0,1
29,685.0,141.0,87.0,108.0,1
30,844.0,318.0,44.0,70.0,1
31,58.0,193.0,72.0,75.0,1
32,123.0,291.0,86.0,56.0,1
33,867.0,602.0,64.0,65.0,1
34,646.0,817.0,51.0,81.0,1
35,377.0,714.0,85.0,83.0,1
36,588.0,854.0,63.0,104.0,1
37,0.0,0.0,82.0,92.0,1
38,301.0,872.0,98.0,110.0,1
39,1004.0,98.0,20.0,81.0,1
40,0.0,350.0,23.0,92.0,1
41,807.0,514.0,71.0,72.0,1
42,600.0,155.0,55.0,67.0,1
43,161.0,1.0,84.0,72.0,1
