#item,x,y,width,height,label
0,60.0,52.0,45.0,50.0,1
1,681.0,91.0,52.0,73.0,1
2,835.0,151.0,48.0,48.0,1
3,782.0,314.0,55.0,74.0,1
4,67.0,626.0,76.0,68.0,1
5,777.0,573.0,42.0,32.0,1
6,656.0,618.0,68.0,53.0,1
7,882.0,120.0,50.0,66.0,1
8,966.0,60.0,58.0,85.0,1
9,580.0,281.0,48.0,70.0,1
10,861.0,777.0,77.0,54.0,1
11,658.0,343.0,50.0,59.0,1
12,158.0,151.0,43.0,72.0,1
13,914.0,875.0,50.0,49.0,1
14,819.0,584.0,47.0,37.0,1
15,649.0,966.0,100.0,53.0,1
16,967.0,425.0,56.0,61.0,1
17,770.0,888.0,64.0,79.0,1
18,40.0,339.0,82.0,103.0,1
19,1.0,226.0,42.0,49.0,1
20,654.0,210.0,72.0,50.0,1
