#item,x,y,width,height,label
0,912.0,95.0,98.0,154.0,1
1,225.0,126.0,153.0,109.0,1
2,72.0,95.0,60.0,78.0,1
3,133.0,0.0,114.0,107.0,1
4,922.0,499.0,102.0,120.0,1
5,957.0,679.0,45.0,88.0,1
6,981.0,658.0,43.0,92.0,1
7,431.0,94.0,79.0,94.0,1
8,10.0,382.0,137.0,118.0,1
9,433.0,772.0,145.0,220.0,1
10,491.0,0.0,125.0,128.0,1
11,286.0,761.0,89.0,112.0,1
12,602.0,731.0,104.0,175.0,1
13,884.0,976.0,71.0,48.0,1
14,410.0,521.0,90.0,194.0,1
15,759.0,76.0,113.0,184.0,1
16,155.0,408.0,85.0,72.0,1
17,918.0,0.0,85.0,49.0,1
18,232.0,588.0,138.0,116.0,1
19,92.0,585.0,113.0,98.0,1
20,222.0,106.0,163.0,79.0,1
21,33.0,513.0,62.0,85.0,1
22,867.0,768.0,68.0,63.0,1
23,987.0,758.0,37.0,65.0,1
24,380.0,689.0,79.0,117.0,1
25,660.0,728.0,91.0,140.0,1
