#item,x,y,width,height,label
0,760.0,436.0,146.0,105.0,1
1,911.0,600.0,72.0,96.0,1
2,416.0,130.0,132.0,159.0,1
3,303.0,81.0,71.0,65.0,1
4,782.0,963.0,92.0,61.0,1
5,562.0,442.0,130.0,90.0,1
6,6.0,653.0,140.0,108.0,1
7,477.0,506.0,73.0,85.0,1
8,693.0,845.0,68.0,117.0,1
9,480.0,326.0,101.0,89.0,1
10,561.0,188.0,132.0,101.0,1
11,867.0,828.0,103.0,97.0,1
12,57.0,313.0,157.0,128.0,1
13,407.0,651.0,91.0,103.0,1
14,356.0,0.0,108.0,49.0,1
15,385.0,400.0,95.0,76.0,1
16,592.0,968.0,119.0,56.0,1
17,439.0,281.0,73.0,81.0,1
18,970.0,158.0,53.0,121.0,1
19,151.0,243.0,82.0,70.0,1
20,708.0,522.0,84.0,106.0,1
21,103.0,712.0,91.0,73.0,1
22,200.0,840.0,95.0,110.0,1
