#item,x,y,width,height,label
0,628.0,572.0,86.0,77.0,1
1,774.0,763.0,90.0,75.0,1
2,262.0,193.0,78.0,69.0,1
3,898.0,958.0,87.0,66.0,1
4,642.0,718.0,104.0,87.0,1
5,342.0,774.0,55.0,63.0,1
6,842.0,545.0,105.0,116.0,1
7,165.0,756.0,81.0,197.0,1
8,939.0,852.0,85.0,97.0,1
9,492.0,582.0,110.0,79.0,1
10,608.0,41.0,130.0,75.0,1
11,783.0,9.0,85.0,69.0,1
12,559.0,139.0,59.0,49.0,1
13,761.0,401.0,109.0,83.0,1
14,0.0,56.0,153.0,74.0,1
15,342.0,951.0,63.0,47.0,1
16,57.0,236.0,133.0,87.0,1
17,69.0,811.0,78.0,63.0,1
18,328.0,470.0,152.0,81.0,1
19,210.0,285.0,134.0,61.0,1
20,647.0,90.0,85.0,73.0,1
21,379.0,661.0,97.0,67.0,1
22,669.0,421.0,71.0,69.0,1
23,141.0,647.0,103.0,89.0,1
24,965.0,598.0,59.0,91.0,1
25,350.0,838.0,75.0,75.0,1
26,444.0,242.0,97.0,65.0,1
27,628.0,0.0,92.0,41.0,1
28,449.0,100.0,102.0,81.0,1
29,968.0,80.0,56.0,81.0,1
30,793.0,121.0,103.0,83.0,1
31,403.0,768.0,73.0,80.0,1
32,730.0,547.0,65.0,45.0,1
33,588.0,809.0,65.0,82.0,1
34,944.0,520.0,80.0,63.0,1
35,200.0,0.0,95.0,31.0,1
36,230.0,381.0,171.0,119.0,1
37,364.0,724.0,77.0,59.0,1
38,953.0,456.0,71.0,69.0,1
39,0.0,152.0,51.0,58.0,1
40,246.0,801.0,65.0,69.0,1
41,685.0,649.0,130.0,77.0,1
42,496.0,770.0,74.0,98.0,1
43,535.0,697.0,77.0,80.0,1
