#item,x,y,width,height,label
0,8.0,496.0,68.0,85.0,1
1,694.0,200.0,56.0,50.0,1
2,726.0,872.0,95.0,79.0,1
3,545.0,421.0,75.0,92.0,1
4,636.0,196.0,65.0,77.0,1
5,813.0,690.0,85.0,62.0,1
6,99.0,459.0,117.0,64.0,1
7,820.0,290.0,60.0,101.0,1
8,429.0,350.0,67.0,96.0,1
9,736.0,530.0,93.0,119.0,1
10,645.0,452.0,85.0,124.0,1
11,635.0,399.0,87.0,72.0,1
12,570.0,348.0,53.0,55.0,1
13,0.0,534.0,61.0,70.0,1
14,211.0,542.0,85.0,54.0,1
15,735.0,322.0,53.0,72.0,1
16,499.0,370.0,60.0,57.0,1
17,451.0,468.0,92.0,95.0,1
18,888.0,366.0,89.0,97.0,1
19,565.0,287.0,49.0,65.0,1
20,756.0,956.0,79.0,68.0,1
21,756.0,436.0,88.0,85.0,1
22,68.0,578.0,71.0,50.0,1
23,814.0,394.0,58.0,85.0,1
24,629.0,679.0,87.0,71.0,1
25,0.0,397.0,112.0,71.0,1
26,522.0,898.0,79.0,103.0,1
