#item,x,y,width,height,label
0,864.0,409.0,83.0,110.0,1
1,891.0,303.0,133.0,104.0,1
2,628.0,553.0,86.0,110.0,1
3,710.0,519.0,128.0,114.0,1
4,157.0,74.0,61.0,81.0,1
5,635.0,334.0,126.0,117.0,1
6,496.0,913.0,126.0,91.0,1
7,795.0,51.0,89.0,100.0,1
8,915.0,13.0,109.0,140.0,1
9,482.0,655.0,71.0,65.0,1
10,685.0,175.0,116.0,94.0,1
11,354.0,547.0,65.0,83.0,1
12,147.0,446.0,89.0,87.0,1
13,675.0,683.0,112.0,145.0,1
14,279.0,301.0,69.0,89.0,1
15,137.0,193.0,89.0,80.0,1
16,833.0,0.0,51.0,60.0,1
17,171.0,309.0,71.0,61.0,1
18,114.0,600.0,90.0,89.0,1
19,533.0,405.0,114.0,93.0,1
20,25.0,384.0,73.0,80.0,1
21,0.0,121.0,29.0,79.0,1
22,903.0,651.0,109.0,142.0,1
23,379.0,789.0,74.0,83.0,1
24,937.0,618.0,87.0,91.0,1
25,23.0,262.0,85.0,100.0,1
26,449.0,712.0,82.0,97.0,1
27,260.0,51.0,116.0,90.0,1
28,377.0,153.0,81.0,146.0,1
29,332.0,374.0,109.0,94.0,1
30,976.0,919.0,48.0,105.0,1
31,249.0,0.0,174.0,62.0,1
32,236.0,141.0,94.0,144.0,1
33,9.0,451.0,89.0,84.0,1
34,774.0,620.0,76.0,110.0,1
35,344.0,687.0,79.0,71.0,1
