#item,x,y,width,height,label
0,563.0,818.0,69.0,45.0,1
1,748.0,755.0,56.0,77.0,1
2,810.0,757.0,39.0,61.0,1
3,632.0,597.0,59.0,75.0,1
4,599.0,767.0,58.0,48.0,1
5,163.0,722.0,35.0,52.0,1
6,96.0,539.0,76.0,73.0,1
7,557.0,0.0,70.0,98.0,1
8,294.0,722.0,76.0,63.0,1
9,45.0,981.0,56.0,42.0,1
10,204.0,505.0,133.0,140.0,1
11,75.0,795.0,78.0,46.0,1
12,664.0,752.0,49.0,39.0,1
13,786.0,320.0,51.0,39.0,1
14,703.0,680.0,63.0,72.0,1
15,149.0,0.0,53.0,79.0,1
16,602.0,366.0,101.0,56.0,1
17,302.0,167.0,90.0,72.0,1
18,570.0,959.0,72.0,53.0,1
19,208.0,303.0,48.0,37.0,1
20,423.0,703.0,69.0,48.0,1
21,197.0,221.0,57.0,71.0,1
22,50.0,129.0,37.0,32.0,1
23,240.0,679.0,56.0,46.0,1
24,714.0,271.0,78.0,84.0,1
25,231.0,336.0,79.0,68.0,1
26,649.0,243.0,56.0,68.0,1
27,932.0,105.0,49.0,41.0,1
28,903.0,306.0,121.0,99.0,1
29,819.0,153.0,68.0,71.0,1
30,718.0,862.0,130.0,72.0,1
31,822.0,381.0,104.0,59.0,1
32,627.0,908.0,74.0,55.0,1
33,942.0,244.0,54.0,56.0,1
34,879.0,769.0,40.0,53.0,1
35,657.0,119.0,183.0,59.0,1
36,960.0,37.0,64.0,37.0,1
37,254.0,215.0,71.0,87.0,1
38,81.0,395.0,64.0,45.0,1
39,242.0,0.0,63.0,78.0,1
40,104.0,725.0,53.0,56.0,1
41,7.0,163.0,52.0,57.0,1
42,484.0,120.0,108.0,63.0,1
43,434.0,833.0,38.0,36.0,1
44,763.0,926.0,62.0,41.0,1
45,526.0,697.0,83.0,60.0,1
46,716.0,29.0,71.0,49.0,1
47,79.0,129.0,55.0,69.0,1
48,485.0,882.0,74.0,59.0,1
49,956.0,262.0,68.0,55.0,1
50,447.0,744.0,80.0,66.0,1
51,493.0,828.0,46.0,43.0,1
52,855.0,310.0,115.0,62.0,1
53,374.0,794.0,37.0,33.0,1
54,161.0,250.0,40.0,68.0,1
55,44.0,720.0,53.0,52.0,1
56,7.0,236.0,55.0,60.0,1
57,82.0,268.0,52.0,64.0,1
58,727.0,811.0,101.0,63.0,1
59,851.0,709.0,71.0,67.0,1
60,313.0,36.0,78.0,66.0,1
61,979.0,926.0,45.0,71.0,1
62,339.0,870.0,45.0,38.0,1
63,187.0,754.0,92.0,49.0,1
64,167.0,83.0,97.0,112.0,1
65,923.0,735.0,81.0,69.0,1
66,902.0,182.0,66.0,54.0,1
67,0.0,778.0,49.0,50.0,1
68,955.0,491.0,69.0,64.0,1
69,949.0,811.0,72.0,66.0,1
70,348.0,111.0,64.0,45.0,1
71,430.0,48.0,63.0,123.0,1
72,127.0,97.0,62.0,63.0,1
73,176.0,160.0,79.0,71.0,1
74,651.0,307.0,75.0,43.0,1
