#item,x,y,width,height,label
0,164.0,371.0,104.0,96.0,1
1,442.0,860.0,63.0,108.0,1
2,12.0,549.0,76.0,53.0,1
3,138.0,783.0,112.0,105.0,1
4,752.0,429.0,68.0,86.0,1
5,459.0,455.0,52.0,54.0,1
6,606.0,0.0,80.0,81.0,1
7,888.0,292.0,90.0,71.0,1
8,576.0,294.0,118.0,99.0,1
9,0.0,902.0,47.0,113.0,1
10,115.0,404.0,112.0,81.0,1
11,856.0,487.0,146.0,74.0,1
12,275.0,440.0,71.0,69.0,1
13,643.0,132.0,102.0,64.0,1
14,504.0,783.0,81.0,133.0,1
15,0.0,814.0,62.0,67.0,1
16,245.0,653.0,128.0,152.0,1
17,4.0,273.0,118.0,70.0,1
18,139.0,963.0,78.0,58.0,1
19,433.0,475.0,92.0,135.0,1
20,81.0,496.0,131.0,63.0,1
21,747.0,785.0,85.0,97.0,1
22,454.0,252.0,78.0,75.0,1
23,826.0,955.0,82.0,69.0,1
24,182.0,639.0,68.0,124.0,1
25,834.0,736.0,63.0,70.0,1
26,384.0,833.0,82.0,102.0,1
27,286.0,735.0,117.0,141.0,1
28,331.0,939.0,72.0,57.0,1
29,61.0,301.0,77.0,92.0,1
30,692.0,988.0,89.0,35.0,1
31,743.0,72.0,60.0,44.0,1
32,901.0,363.0,104.0,95.0,1
33,493.0,137.0,53.0,56.0,1
34,581.0,545.0,73.0,100.0,1
35,418.0,0.0,69.0,68.0,1
36,114.0,128.0,77.0,63.0,1
37,195.0,247.0,105.0,96.0,1
38,602.0,806.0,81.0,119.0,1
39,195.0,336.0,63.0,60.0,1
40,338.0,529.0,87.0,61.0,1
41,948.0,490.0,69.0,74.0,1
42,774.0,571.0,84.0,56.0,1
43,339.0,200.0,67.0,65.0,1
44,889.0,158.0,89.0,88.0,1
45,960.0,838.0,64.0,106.0,1
46,884.0,847.0,80.0,113.0,1
