#item,x,y,width,height,label
0,263.0,601.0,40.0,51.0,1
1,735.0,229.0,49.0,49.0,1
2,736.0,662.0,52.0,55.0,1
3,215.0,663.0,42.0,43.0,1
4,395.0,187.0,41.0,36.0,1
5,991.0,138.0,33.0,61.0,1
6,359.0,11.0,58.0,53.0,1
7,617.0,572.0,48.0,77.0,1
8,772.0,846.0,79.0,38.0,1
9,940.0,649.0,50.0,49.0,1
10,565.0,521.0,63.0,95.0,1
11,172.0,541.0,57.0,58.0,1
12,94.0,15.0,36.0,62.0,1
13,211.0,783.0,52.0,41.0,1
14,877.0,224.0,38.0,35.0,1
15,926.0,131.0,57.0,52.0,1
16,875.0,590.0,48.0,65.0,1
17,103.0,739.0,62.0,31.0,1
18,501.0,56.0,35.0,48.0,1
19,466.0,254.0,44.0,40.0,1
20,218.0,747.0,54.0,59.0,1
21,284.0,3.0,44.0,46.0,1
22,0.0,121.0,53.0,45.0,1
23,309.0,722.0,44.0,40.0,1
24,607.0,163.0,58.0,57.0,1
25,933.0,84.0,81.0,36.0,1
26,968.0,184.0,42.0,48.0,1
27,814.0,133.0,46.0,47.0,1
28,567.0,723.0,39.0,35.0,1
29,432.0,783.0,68.0,33.0,1
30,555.0,90.0,54.0,61.0,1
31,77.0,146.0,49.0,48.0,1
32,310.0,194.0,39.0,56.0,1
33,276.0,542.0,53.0,45.0,1
34,209.0,83.0,54.0,40.0,1
35,194.0,712.0,63.0,43.0,1
36,623.0,18.0,65.0,42.0,1
37,501.0,613.0,40.0,32.0,1
38,719.0,165.0,54.0,67.0,1
39,316.0,882.0,52.0,47.0,1
40,126.0,865.0,55.0,62.0,1
41,412.0,802.0,62.0,54.0,1
42,116.0,140.0,49.0,54.0,1
43,585.0,824.0,25.0,37.0,1
44,585.0,299.0,46.0,37.0,1
45,524.0,5.0,46.0,75.0,1
46,457.0,530.0,43.0,53.0,1
47,86.0,849.0,61.0,33.0,1
48,936.0,764.0,45.0,36.0,1
49,773.0,201.0,59.0,65.0,1
50,605.0,5.0,39.0,87.0,1
