#item,x,y,width,height,label
0,891.0,334.0,62.0,107.0,1
1,683.0,722.0,130.0,93.0,1
2,203.0,701.0,241.0,115.0,1
3,929.0,852.0,92.0,114.0,1
4,567.0,858.0,232.0,93.0,1
5,616.0,70.0,84.0,93.0,1
6,584.0,265.0,71.0,67.0,1
7,31.0,262.0,157.0,176.0,1
8,425.0,297.0,96.0,87.0,1
9,889.0,984.0,99.0,40.0,1
10,0.0,354.0,92.0,118.0,1
11,712.0,287.0,65.0,136.0,1
12,774.0,330.0,64.0,87.0,1
13,179.0,51.0,110.0,134.0,1
14,362.0,435.0,114.0,238.0,1
15,19.0,110.0,207.0,136.0,1
16,403.0,334.0,75.0,170.0,1
17,921.0,472.0,83.0,71.0,1
18,756.0,661.0,67.0,46.0,1
19,207.0,807.0,216.0,188.0,1
20,789.0,181.0,83.0,187.0,1
21,496.0,121.0,106.0,95.0,1
22,900.0,198.0,65.0,158.0,1
23,0.0,210.0,60.0,75.0,1
24,594.0,352.0,91.0,248.0,1
25,51.0,980.0,171.0,44.0,1
26,557.0,693.0,83.0,59.0,1
27,153.0,239.0,168.0,142.0,1
28,157.0,500.0,169.0,149.0,1
