#item,x,y,width,height,label
0,682.0,321.0,70.0,55.0,1
1,666.0,839.0,57.0,45.0,1
2,93.0,0.0,106.0,47.0,1
3,411.0,806.0,60.0,53.0,1
4,791.0,142.0,83.0,66.0,1
5,938.0,890.0,56.0,100.0,1
6,875.0,152.0,65.0,76.0,1
7,803.0,326.0,71.0,74.0,1
8,605.0,765.0,81.0,67.0,1
9,145.0,972.0,141.0,52.0,1
10,903.0,171.0,84.0,160.0,1
11,687.0,236.0,74.0,78.0,1
12,619.0,406.0,95.0,98.0,1
13,339.0,691.0,129.0,141.0,1
14,901.0,751.0,67.0,79.0,1
15,858.0,397.0,87.0,73.0,1
16,238.0,332.0,75.0,53.0,1
17,183.0,172.0,70.0,175.0,1
18,329.0,950.0,63.0,74.0,1
19,324.0,813.0,53.0,57.0,1
20,516.0,673.0,130.0,206.0,1
21,495.0,0.0,87.0,65.0,1
22,168.0,273.0,53.0,89.0,1
23,822.0,912.0,71.0,81.0,1
24,722.0,377.0,76.0,82.0,1
25,585.0,238.0,64.0,80.0,1
26,422.0,929.0,79.0,95.0,1
27,0.0,917.0,55.0,107.0,1
28,229.0,834.0,48.0,46.0,1
29,0.0,831.0,93.0,65.0,1
30,795.0,785.0,157.0,129.0,1
31,0.0,22.0,82.0,179.0,1
32,41.0,569.0,40.0,43.0,1
33,0.0,365.0,47.0,76.0,1
34,77.0,329.0,75.0,74.0,1
35,41.0,228.0,98.0,68.0,1
36,937.0,318.0,87.0,89.0,1
37,129.0,847.0,83.0,62.0,1
