#item,x,y,width,height,label
0,896.0,397.0,86.0,97.0,1
1,447.0,287.0,101.0,67.0,1
2,946.0,465.0,65.0,52.0,1
3,281.0,702.0,89.0,70.0,1
4,882.0,176.0,74.0,64.0,1
5,791.0,970.0,92.0,54.0,1
6,713.0,222.0,46.0,46.0,1
7,815.0,202.0,62.0,75.0,1
8,585.0,847.0,73.0,102.0,1
9,161.0,426.0,73.0,53.0,1
10,804.0,825.0,85.0,142.0,1
11,122.0,115.0,95.0,68.0,1
12,979.0,280.0,45.0,66.0,1
13,474.0,1.0,78.0,36.0,1
14,456.0,616.0,43.0,48.0,1
15,780.0,516.0,57.0,48.0,1
16,417.0,26.0,61.0,86.0,1
17,316.0,366.0,131.0,71.0,1
18,204.0,803.0,94.0,142.0,1
19,59.0,240.0,130.0,88.0,1
20,920.0,0.0,92.0,55.0,1
21,82.0,702.0,32.0,34.0,1
22,268.0,750.0,66.0,53.0,1
23,654.0,89.0,78.0,136.0,1
24,385.0,814.0,81.0,63.0,1
25,430.0,112.0,73.0,71.0,1
26,0.0,631.0,108.0,85.0,1
27,559.0,41.0,90.0,79.0,1
28,881.0,19.0,93.0,73.0,1
29,858.0,396.0,62.0,88.0,1
30,668.0,428.0,97.0,84.0,1
31,340.0,654.0,138.0,73.0,1
32,313.0,489.0,83.0,142.0,1
33,213.0,141.0,94.0,80.0,1
34,577.0,124.0,95.0,54.0,1
