#item,x,y,width,height,label
0,684.0,316.0,106.0,72.0,1
1,581.0,803.0,115.0,90.0,1
2,286.0,0.0,81.0,53.0,1
3,379.0,896.0,60.0,68.0,1
4,529.0,77.0,92.0,68.0,1
5,59.0,176.0,59.0,29.0,1
6,22.0,46.0,52.0,48.0,1
7,48.0,566.0,79.0,66.0,1
8,343.0,554.0,78.0,47.0,1
9,164.0,514.0,56.0,42.0,1
10,98.0,748.0,57.0,38.0,1
11,171.0,353.0,124.0,68.0,1
12,598.0,568.0,119.0,115.0,1
13,546.0,1.0,151.0,37.0,1
14,509.0,146.0,58.0,73.0,1
15,49.0,206.0,99.0,73.0,1
16,312.0,136.0,145.0,80.0,1
17,318.0,598.0,47.0,35.0,1
18,420.0,514.0,98.0,91.0,1
19,1.0,90.0,48.0,46.0,1
