#item,x,y,width,height,label
0,320.0,655.0,56.0,48.0,1
1,185.0,150.0,49.0,54.0,1
2,714.0,552.0,69.0,57.0,1
3,487.0,623.0,61.0,58.0,1
4,736.0,434.0,56.0,62.0,1
5,36.0,970.0,95.0,54.0,1
6,443.0,935.0,72.0,74.0,1
7,904.0,397.0,66.0,60.0,1
8,0.0,165.0,68.0,71.0,1
9,965.0,251.0,59.0,54.0,1
10,837.0,593.0,76.0,52.0,1
11,27.0,82.0,74.0,83.0,1
12,661.0,403.0,63.0,63.0,1
13,788.0,983.0,98.0,41.0,1
14,515.0,252.0,79.0,49.0,1
15,480.0,195.0,100.0,60.0,1
16,784.0,486.0,61.0,60.0,1
17,312.0,244.0,65.0,51.0,1
18,658.0,318.0,73.0,73.0,1
19,851.0,291.0,78.0,78.0,1
20,314.0,310.0,79.0,63.0,1
21,220.0,248.0,72.0,56.0,1
22,111.0,455.0,78.0,90.0,1
23,452.0,656.0,55.0,54.0,1
24,14.0,631.0,101.0,105.0,1
25,627.0,550.0,58.0,65.0,1
26,899.0,707.0,77.0,75.0,1
27,461.0,443.0,75.0,97.0,1
28,388.0,737.0,91.0,88.0,1
29,552.0,683.0,74.0,44.0,1
30,955.0,800.0,45.0,57.0,1
31,223.0,732.0,75.0,94.0,1
32,937.0,98.0,87.0,62.0,1
33,631.0,845.0,64.0,99.0,1
34,892.0,770.0,58.0,58.0,1
35,234.0,836.0,86.0,90.0,1
36,834.0,224.0,82.0,55.0,1
37,456.0,48.0,77.0,93.0,1
38,82.0,728.0,96.0,99.0,1
39,182.0,919.0,37.0,34.0,1
40,598.0,27.0,81.0,71.0,1
41,758.0,685.0,53.0,50.0,1
42,628.0,204.0,45.0,58.0,1
43,174.0,553.0,105.0,70.0,1
