#item,x,y,width,height,label
0,518.0,459.0,64.0,67.0,1
1,29.0,382.0,165.0,199.0,1
2,164.0,117.0,85.0,72.0,1
3,357.0,487.0,99.0,165.0,1
4,965.0,111.0,59.0,85.0,1
5,60.0,1.0,233.0,77.0,1
6,2.0,101.0,116.0,178.0,1
7,566.0,564.0,93.0,175.0,1
8,762.0,738.0,69.0,91.0,1
9,869.0,171.0,109.0,59.0,1
10,505.0,286.0,126.0,69.0,1
11,606.0,596.0,156.0,123.0,1
12,295.0,340.0,80.0,187.0,1
13,316.0,655.0,47.0,110.0,1
14,436.0,797.0,94.0,188.0,1
15,205.0,174.0,88.0,66.0,1
16,67.0,642.0,79.0,61.0,1
17,146.0,535.0,68.0,54.0,1
18,84.0,860.0,173.0,152.0,1
19,531.0,967.0,72.0,57.0,1
20,702.0,282.0,99.0,64.0,1
21,872.0,694.0,116.0,179.0,1
22,897.0,331.0,127.0,75.0,1
23,643.0,390.0,223.0,158.0,1
24,180.0,790.0,79.0,64.0,1
25,155.0,636.0,114.0,157.0,1
26,879.0,65.0,78.0,78.0,1
27,158.0,190.0,62.0,88.0,1
28,764.0,652.0,69.0,75.0,1
29,6.0,833.0,70.0,150.0,1
30,339.0,680.0,67.0,203.0,1
31,335.0,964.0,63.0,60.0,1
32,775.0,568.0,77.0,68.0,1
33,733.0,738.0,62.0,75.0,1
34,297.0,123.0,89.0,77.0,1
35,46.0,750.0,74.0,49.0,1
36,939.0,508.0,85.0,91.0,1
37,729.0,0.0,110.0,139.0,1
