#item,x,y,width,height,label
0,634.0,970.0,85.0,52.0,1
1,120.0,147.0,100.0,128.0,1
2,829.0,755.0,68.0,81.0,1
3,365.0,67.0,48.0,85.0,1
4,387.0,585.0,109.0,133.0,1
5,866.0,581.0,68.0,83.0,1
6,643.0,109.0,51.0,69.0,1
7,551.0,190.0,81.0,105.0,1
8,136.0,849.0,111.0,131.0,1
9,293.0,766.0,147.0,102.0,1
10,15.0,913.0,98.0,102.0,1
11,330.0,152.0,67.0,96.0,1
12,499.0,542.0,120.0,160.0,1
13,106.0,362.0,154.0,115.0,1
14,419.0,146.0,75.0,56.0,1
15,418.0,691.0,139.0,111.0,1
16,201.0,0.0,71.0,66.0,1
17,67.0,899.0,83.0,69.0,1
18,726.0,508.0,93.0,130.0,1
19,752.0,179.0,105.0,189.0,1
20,401.0,175.0,86.0,93.0,1
21,311.0,76.0,71.0,108.0,1
22,7.0,506.0,126.0,105.0,1
23,820.0,359.0,95.0,99.0,1
24,910.0,980.0,61.0,43.0,1
25,621.0,251.0,94.0,179.0,1
26,609.0,43.0,84.0,93.0,1
