#item,x,y,width,height,label
0,0.0,936.0,44.0,88.0,1
1,544.0,709.0,73.0,73.0,1
2,999.0,47.0,25.0,101.0,1
3,23.0,1.0,134.0,59.0,1
4,809.0,126.0,82.0,135.0,1
5,2.0,749.0,53.0,78.0,1
6,77.0,24.0,124.0,65.0,1
7,613.0,190.0,89.0,152.0,1
8,483.0,572.0,100.0,114.0,1
9,0.0,309.0,52.0,98.0,1
10,880.0,735.0,95.0,127.0,1
11,212.0,168.0,69.0,153.0,1
12,756.0,385.0,68.0,54.0,1
13,63.0,211.0,130.0,170.0,1
14,939.0,238.0,85.0,97.0,1
15,793.0,290.0,49.0,46.0,1
16,343.0,557.0,61.0,65.0,1
17,356.0,0.0,66.0,115.0,1
18,717.0,865.0,119.0,111.0,1
19,0.0,850.0,40.0,66.0,1
20,139.0,484.0,108.0,92.0,1
21,862.0,440.0,49.0,54.0,1
22,517.0,822.0,88.0,54.0,1
23,365.0,883.0,77.0,84.0,1
24,722.0,732.0,74.0,131.0,1
25,572.0,835.0,67.0,131.0,1
26,659.0,974.0,103.0,49.0,1
27,87.0,734.0,109.0,140.0,1
28,184.0,747.0,73.0,45.0,1
29,306.0,666.0,90.0,74.0,1
30,92.0,886.0,58.0,137.0,1
31,380.0,778.0,55.0,50.0,1
32,140.0,877.0,145.0,76.0,1
33,843.0,935.0,114.0,59.0,1
34,697.0,265.0,69.0,115.0,1
35,837.0,387.0,63.0,54.0,1
36,186.0,730.0,151.0,179.0,1
37,300.0,73.0,126.0,68.0,1
38,354.0,271.0,81.0,189.0,1
