#item,x,y,width,height,label
0,483.0,899.0,99.0,111.0,1
1,62.0,681.0,51.0,63.0,1
2,580.0,790.0,61.0,45.0,1
3,623.0,634.0,49.0,50.0,1
4,0.0,912.0,64.0,60.0,1
5,461.0,290.0,45.0,44.0,1
6,212.0,42.0,70.0,86.0,1
7,511.0,776.0,28.0,29.0,1
8,345.0,305.0,58.0,73.0,1
9,381.0,157.0,38.0,53.0,1
10,186.0,578.0,69.0,53.0,1
11,18.0,481.0,104.0,83.0,1
12,512.0,326.0,45.0,48.0,1
13,650.0,544.0,75.0,67.0,1
14,554.0,339.0,38.0,53.0,1
15,537.0,410.0,66.0,59.0,1
16,735.0,311.0,60.0,116.0,1
17,649.0,577.0,41.0,69.0,1
18,986.0,242.0,38.0,82.0,1
