#item,x,y,width,height,label
0,465.0,623.0,62.0,113.0,1
1,991.0,390.0,33.0,94.0,1
2,448.0,497.0,50.0,81.0,1
3,372.0,170.0,94.0,74.0,1
4,931.0,576.0,93.0,120.0,1
5,962.0,149.0,54.0,71.0,1
6,210.0,173.0,69.0,49.0,1
7,822.0,356.0,96.0,126.0,1
8,721.0,613.0,51.0,57.0,1
9,814.0,213.0,45.0,62.0,1
10,344.0,79.0,78.0,68.0,1
11,130.0,864.0,88.0,93.0,1
12,772.0,570.0,68.0,104.0,1
13,355.0,0.0,91.0,69.0,1
14,982.0,466.0,42.0,111.0,1
15,336.0,568.0,108.0,141.0,1
16,18.0,546.0,91.0,119.0,1
17,542.0,0.0,59.0,36.0,1
18,31.0,109.0,85.0,81.0,1
19,726.0,192.0,67.0,118.0,1
20,711.0,49.0,90.0,70.0,1
21,522.0,125.0,53.0,60.0,1
22,304.0,210.0,71.0,74.0,1
23,276.0,340.0,100.0,111.0,1
24,0.0,179.0,58.0,67.0,1
25,166.0,524.0,74.0,135.0,1
26,257.0,946.0,68.0,75.0,1
27,784.0,561.0,101.0,110.0,1
28,578.0,90.0,37.0,24.0,1
29,169.0,689.0,131.0,117.0,1
30,134.0,389.0,130.0,126.0,1
31,0.0,472.0,31.0,96.0,1
32,631.0,116.0,74.0,110.0,1
33,38.0,275.0,107.0,59.0,1
34,696.0,768.0,84.0,80.0,1
35,391.0,385.0,74.0,77.0,1
36,687.0,362.0,113.0,92.0,1
