#item,x,y,width,height,label
0,797.0,732.0,73.0,85.0,1
1,771.0,402.0,65.0,58.0,1
2,99.0,277.0,76.0,163.0,1
3,756.0,48.0,121.0,198.0,1
4,506.0,738.0,81.0,200.0,1
5,476.0,603.0,85.0,66.0,1
6,638.0,60.0,60.0,106.0,1
7,219.0,254.0,97.0,164.0,1
8,449.0,699.0,61.0,61.0,1
9,844.0,457.0,64.0,56.0,1
10,643.0,0.0,106.0,27.0,1
11,554.0,196.0,102.0,87.0,1
12,7.0,100.0,61.0,92.0,1
13,0.0,587.0,51.0,104.0,1
14,2.0,475.0,144.0,94.0,1
15,399.0,111.0,107.0,176.0,1
16,0.0,42.0,41.0,95.0,1
17,153.0,570.0,139.0,135.0,1
18,405.0,0.0,48.0,58.0,1
19,0.0,220.0,80.0,91.0,1
20,415.0,524.0,106.0,76.0,1
21,994.0,817.0,30.0,135.0,1
22,643.0,815.0,56.0,106.0,1
23,54.0,412.0,125.0,78.0,1
24,624.0,932.0,85.0,83.0,1
25,0.0,701.0,52.0,105.0,1
26,934.0,768.0,60.0,112.0,1
27,24.0,824.0,82.0,73.0,1
28,0.0,942.0,54.0,66.0,1
29,644.0,364.0,163.0,122.0,1
30,133.0,947.0,79.0,77.0,1
31,884.0,0.0,140.0,175.0,1
32,489.0,109.0,101.0,95.0,1
33,999.0,512.0,25.0,98.0,1
34,68.0,598.0,50.0,124.0,1
35,136.0,183.0,59.0,82.0,1
36,976.0,504.0,48.0,52.0,1
37,233.0,0.0,93.0,176.0,1
38,479.0,470.0,133.0,125.0,1
39,283.0,810.0,55.0,73.0,1
40,760.0,500.0,96.0,71.0,1
41,932.0,234.0,92.0,71.0,1
