#item,x,y,width,height,label
0,892.0,376.0,71.0,81.0,1
1,905.0,296.0,78.0,74.0,1
2,875.0,7.0,58.0,55.0,1
3,0.0,205.0,55.0,53.0,1
4,138.0,709.0,119.0,65.0,1
5,244.0,110.0,140.0,63.0,1
6,647.0,139.0,62.0,50.0,1
7,174.0,970.0,67.0,38.0,1
8,745.0,166.0,53.0,64.0,1
9,169.0,322.0,87.0,68.0,1
10,550.0,945.0,70.0,79.0,1
11,391.0,14.0,74.0,87.0,1
12,998.0,369.0,26.0,64.0,1
13,273.0,757.0,61.0,51.0,1
14,219.0,865.0,92.0,93.0,1
15,649.0,838.0,84.0,127.0,1
16,384.0,902.0,59.0,44.0,1
17,310.0,828.0,74.0,55.0,1
18,630.0,555.0,80.0,85.0,1
19,611.0,311.0,45.0,74.0,1
20,373.0,314.0,108.0,183.0,1
21,93.0,6.0,152.0,80.0,1
22,659.0,670.0,122.0,80.0,1
23,109.0,181.0,131.0,71.0,1
24,88.0,86.0,118.0,46.0,1
25,755.0,1.0,108.0,45.0,1
26,466.0,951.0,87.0,67.0,1
27,964.0,401.0,39.0,67.0,1
28,857.0,610.0,106.0,68.0,1
29,852.0,733.0,94.0,50.0,1
30,670.0,382.0,49.0,84.0,1
31,307.0,584.0,62.0,78.0,1
32,765.0,910.0,148.0,57.0,1
33,24.0,606.0,83.0,44.0,1
34,63.0,545.0,58.0,58.0,1
35,287.0,934.0,45.0,71.0,1
36,863.0,478.0,86.0,60.0,1
37,457.0,870.0,65.0,58.0,1
38,293.0,245.0,96.0,62.0,1
39,288.0,24.0,75.0,69.0,1
40,98.0,818.0,115.0,62.0,1
41,874.0,189.0,110.0,53.0,1
42,707.0,76.0,57.0,68.0,1
43,206.0,465.0,67.0,56.0,1
44,225.0,533.0,118.0,91.0,1
45,777.0,230.0,63.0,74.0,1
46,492.0,332.0,80.0,130.0,1
47,683.0,322.0,95.0,89.0,1
48,702.0,17.0,56.0,38.0,1
