#item,x,y,width,height,label
0,0.0,581.0,43.0,177.0,1
1,882.0,430.0,141.0,66.0,1
2,0.0,137.0,150.0,100.0,1
3,616.0,432.0,132.0,74.0,1
4,150.0,435.0,77.0,76.0,1
5,509.0,465.0,81.0,162.0,1
6,350.0,74.0,222.0,152.0,1
7,549.0,1003.0,87.0,21.0,1
8,159.0,609.0,93.0,64.0,1
9,870.0,0.0,130.0,174.0,1
10,856.0,869.0,127.0,92.0,1
11,734.0,402.0,69.0,113.0,1
12,0.0,233.0,101.0,97.0,1
13,0.0,317.0,88.0,68.0,1
14,229.0,271.0,121.0,116.0,1
15,973.0,728.0,51.0,96.0,1
16,896.0,785.0,80.0,66.0,1
17,639.0,651.0,147.0,127.0,1
18,798.0,55.0,86.0,46.0,1
19,517.0,668.0,63.0,52.0,1
20,151.0,370.0,121.0,67.0,1
21,64.0,26.0,117.0,62.0,1
22,356.0,248.0,103.0,196.0,1
23,944.0,337.0,80.0,57.0,1
24,1.0,875.0,115.0,103.0,1
25,453.0,716.0,96.0,89.0,1
26,303.0,843.0,111.0,143.0,1
27,425.0,890.0,69.0,99.0,1
28,235.0,546.0,73.0,52.0,1
29,331.0,485.0,185.0,93.0,1
30,553.0,178.0,212.0,102.0,1
31,499.0,806.0,206.0,85.0,1
32,758.0,146.0,119.0,84.0,1
33,228.0,469.0,113.0,66.0,1
34,567.0,1.0,184.0,59.0,1
35,147.0,672.0,152.0,171.0,1
36,640.0,519.0,103.0,66.0,1
