#item,x,y,width,height,label
0,801.0,141.0,93.0,59.0,1
1,19.0,653.0,87.0,90.0,1
2,945.0,180.0,61.0,47.0,1
3,789.0,480.0,156.0,105.0,1
4,239.0,698.0,92.0,67.0,1
5,350.0,604.0,71.0,72.0,1
6,723.0,595.0,76.0,56.0,1
7,970.0,617.0,54.0,46.0,1
8,765.0,798.0,56.0,42.0,1
9,185.0,623.0,97.0,77.0,1
10,114.0,741.0,72.0,60.0,1
11,841.0,178.0,56.0,62.0,1
12,382.0,239.0,111.0,94.0,1
13,735.0,122.0,87.0,60.0,1
14,365.0,120.0,106.0,75.0,1
15,0.0,0.0,97.0,49.0,1
16,71.0,955.0,111.0,69.0,1
17,856.0,408.0,77.0,63.0,1
18,176.0,796.0,80.0,74.0,1
19,279.0,23.0,74.0,116.0,1
20,828.0,376.0,75.0,58.0,1
21,726.0,691.0,74.0,45.0,1
22,893.0,820.0,66.0,65.0,1
23,628.0,638.0,71.0,82.0,1
24,23.0,459.0,110.0,83.0,1
25,247.0,260.0,84.0,74.0,1
26,64.0,527.0,58.0,76.0,1
27,845.0,324.0,116.0,58.0,1
28,758.0,757.0,145.0,63.0,1
29,470.0,821.0,138.0,63.0,1
30,354.0,292.0,98.0,88.0,1
31,875.0,597.0,104.0,59.0,1
32,859.0,365.0,96.0,54.0,1
33,458.0,556.0,62.0,79.0,1
34,0.0,187.0,36.0,97.0,1
35,683.0,309.0,54.0,68.0,1
36,193.0,115.0,68.0,76.0,1
37,731.0,323.0,77.0,80.0,1
38,979.0,657.0,45.0,39.0,1
39,624.0,564.0,92.0,90.0,1
40,313.0,800.0,69.0,108.0,1
41,576.0,958.0,95.0,58.0,1
42,0.0,697.0,47.0,65.0,1
