#item,x,y,width,height,label
0,609.0,727.0,123.0,79.0,1
1,404.0,366.0,195.0,171.0,1
2,453.0,934.0,146.0,66.0,1
3,0.0,652.0,69.0,85.0,1
4,765.0,742.0,161.0,61.0,1
5,371.0,209.0,156.0,95.0,1
6,427.0,563.0,79.0,117.0,1
7,709.0,834.0,146.0,59.0,1
8,869.0,907.0,130.0,102.0,1
9,522.0,798.0,105.0,91.0,1
10,705.0,604.0,222.0,55.0,1
11,691.0,227.0,176.0,108.0,1
12,279.0,563.0,105.0,69.0,1
13,522.0,798.0,105.0,92.0,1
14,166.0,882.0,113.0,69.0,1
15,0.0,230.0,128.0,87.0,1
16,358.0,537.0,79.0,62.0,1
17,483.0,69.0,120.0,116.0,1
18,291.0,463.0,98.0,87.0,1
19,125.0,68.0,94.0,92.0,1
20,412.0,2.0,100.0,74.0,1
21,47.0,697.0,92.0,58.0,1
22,555.0,317.0,174.0,74.0,1
23,258.0,295.0,68.0,52.0,1
24,450.0,450.0,133.0,108.0,1
25,440.0,711.0,102.0,64.0,1
26,798.0,201.0,95.0,64.0,1
27,73.0,437.0,72.0,73.0,1
28,668.0,778.0,161.0,69.0,1
