#item,x,y,width,height,label
0,742.0,907.0,65.0,72.0,1
1,575.0,630.0,90.0,57.0,1
2,662.0,296.0,132.0,100.0,1
3,810.0,574.0,118.0,162.0,1
4,763.0,198.0,133.0,95.0,1
5,171.0,717.0,115.0,57.0,1
6,911.0,390.0,113.0,95.0,1
7,388.0,633.0,76.0,51.0,1
8,134.0,0.0,64.0,53.0,1
9,783.0,726.0,136.0,51.0,1
10,905.0,285.0,89.0,79.0,1
11,293.0,316.0,140.0,110.0,1
12,190.0,804.0,111.0,96.0,1
13,350.0,687.0,81.0,115.0,1
14,786.0,869.0,108.0,115.0,1
15,629.0,897.0,88.0,89.0,1
16,828.0,2.0,137.0,130.0,1
17,662.0,317.0,48.0,34.0,1
18,963.0,803.0,61.0,122.0,1
19,807.0,302.0,87.0,77.0,1
20,404.0,423.0,158.0,75.0,1
21,126.0,517.0,68.0,139.0,1
22,220.0,254.0,132.0,84.0,1
23,249.0,745.0,78.0,51.0,1
24,582.0,547.0,138.0,83.0,1
25,987.0,492.0,37.0,79.0,1
26,525.0,824.0,91.0,56.0,1
27,447.0,191.0,97.0,66.0,1
28,42.0,656.0,139.0,75.0,1
29,642.0,444.0,173.0,91.0,1
30,0.0,400.0,105.0,97.0,1
31,542.0,980.0,91.0,44.0,1
32,0.0,126.0,84.0,82.0,1
33,286.0,922.0,219.0,76.0,1
34,664.0,827.0,105.0,49.0,1
35,617.0,779.0,102.0,70.0,1
36,659.0,92.0,91.0,98.0,1
37,415.0,813.0,138.0,83.0,1
38,922.0,977.0,69.0,46.0,1
